cleaned_text	lemm_text
Не обращайте внимания на молчание жены.	не обращать внимание молчание жена
Ну, может она просто неразговорчива.	ну просто неразговорчивый
Думаю, Вы не очень-то выполняете свой патриотический долг.	думать вы оченьто выполнять свой патриотический долг
Те флаги, почему они не повешены?	тот флаг почему повесить
Ну вот, Рита! Я же говорил тебе!	ну вот рита я говорить ты
- Повесь их! Королева и Страна! - Я сожалею.	повесить они королева страна я сожалеть
- Сделай это, прямо сейчас. - Подождите минуту.	сделать это прямо сейчас подождать минута
- Как джентльмен говорит. - Подождите-ка. У вас есть руки, г. Коннолли.	как джентльмен говорить подождитек у рука год коннолли
- Две руки, почему же ей это делать? - Ну, это работа по дому.	два рука почему это делать ну это работа дом
- И это работа женщины? - Конечно.	и это работа женщина конечно
Г. Коннолли, какой пол у Королевы?	год коннолли половина королева
- Она женщина. - Думаете Королева делает работу по дому?	она женщина думать королева делать работа дом
- Нет, не думаю. - Тогда приступайте!	нет думать тогда приступать
Точно. Да, сэр.	точно да сэр
Вы будете гордиться нами, сэр!	вы быть гордиться мы сэр
Повешу Государственные флаги, прямо тут! Извините меня, г. Коннолли. Оторвитесь-ка.	повесить государственный флаг прямо тут извинить я год коннолли оторвитеська
- Государственные флаги? - Да, а разве нет? - Это Флаги Союза.	государственный флаг да нет это флаг союз
- Это Государственный флаги, когда они в море. - О! О, простите. Я правда извиняюсь.	это государственный флаг мор о о простить я правда извиняться
Ладно, но не ошибаетесь вновь. Теперь быстренько исправьте это!	ладный ошибаться вновь теперь быстренько исправить это
Итак, немного отдыха.	итак немного отдых
Перед приездом ее Величества!	перед приезд величество
- Флаг Союза? - Мама гуляла с моряком.	флаг союз мама гулять моряк
И держу пари, что недолго. Итак, я Доктор, это Роза, а ты?	и дерзить пари недолго итак доктор это роза ты
- Томми. - Присядь-ка, Томми.	томми присядька томми
Поглядим-ка на экран.	поглядимка экран
- Я люблю телики, а ты ? - Да, думаю, это потрясно. - Хороший парнишка!	я любить телик да думать это потрясный хороший парнишка
Продолжайте работать, г. К!.. Итак, почему вы не скажите мне что тут происходит?	продолжать работать год к итак почему сказать происходить
- Вы говорили, что Вы были доктором? - Да, это так.	вы говорить вы доктор да это так
Вы можете помочь ей? О, пожалуйста. Вы можете помочь ей, Доктор?	вы мочь помочь она о пожалуйста вы мочь помочь она доктор
Не сейчас, Рита, не думаю, что джентльмену интересно знать... - О, джентльмену интересно.	не сейчас рита думать джентльмен интересно знать о джентльмен интересно
Скажите нам, что не так и мы сможем помочь.	сказать мы смочь помочь
Все в порядке. Успокойтесь.	весь порядок успокоиться
Погодите-ка минуту.	погодитек минута
Королева и Страна это хорошо, но это мой дом!	королева страна это хорошо это дом
Что... черт возьми, я делаю?!	что черта взять делать
Теперь слушай сюда, Доктор.	теперь слушай сюда доктор
У вас могут быть любые привелегии, но что происходит под моей крышей, мое дело!	у мочь любой привелегия происходить мой крыша мой дело
- Не, если люди... - Я говорю!	не человек я говорить
А я не слушаю!	а слушать
Вы можете попасть в очень большие неприятности, если не позволите помочь мне.	вы мочь попасть очень большой неприятность позволить помочь я
Итак я прошу вас Вас, сэр, сказать что тут происходит!	итак просить вы сэр сказать происходить
Она не прекращает.	она прекращать
Никогда не прекращает.	никогда прекращать
Мы слышали истории, повсюду вокруг.	мы слышать история повсюду вокруг
Люди... менялись. Семьи, держали это в тайне, потому что боялись.	человек меняться семья держать это тайна бояться
Тогда полиция начала расследование. Мы не знаем, как это происходит.	тогда полиция начало расследование мы знать это происходить
Они просто приходят и забирают их, в любое время дня или ночи.	они просто приходить забирать они любой время день ночь
Покажите.	показать
Грейн?	грейн
Это Томми. Все в порядке, Грейн. Я привел помощь.	это томми весь порядок грейн я привести помощь
Ее лицо совсем пропало.	она лицо пропасть
Еле заметный электро-импульс.	еле заметный электроимпульс
Почти полная блокировка нервов, просто сглажено.	почти полный блокировка нерв просто сгладить
- Похоже ее мозг, был... высосан. - Вы что-нибудь сделаете, Доктор?	похоже мозг быть высосать вы чтонибыть сделать доктор
- Как нам кормить ее! - У нас компания!	как мы кормить она у компания
- Они пришли за ней! - Что она делала перед тем, как это случилось?	они прислать она что делать тем это случиться
- Говорите, быстро, думайте! - Она не покидала дом. Она просто...	говорить быстро думать она покидать дом она просто
Подождите, есть три важные причины	подождать важный причина
почему Вы должны слушать меня. Первая...	почему вы должный слушать я один
Доктор!	доктор
- Оставьте ее в покое, Вы пораните ее! - Мама!	оставить покой вы поранить она мама
Не порань те ее!	не поранить тот она
- Вернись внутрь, Рита. - Она моя мать! - Немедленно внутрь, я сказал!	вернуться внутрь рита она мать немедленно внутрь сказать
Чертовски сильный хук! Не стоит упускать их.	чертовски сильный хук не стоить упускать они
Не вздумай, вернись внутрь!	не вздумать вернуться внутрь
Роза, шустрее!	роза шустрый
- Не борись с этим, сынок. Не стоит! - Роза! Мы можем потерять их снова!	не бороться это сынок не стоить роза мы мочь потерять снова
- Папа, они взяли ее! Это же была Грейн! - Вернись обратно внутрь!	папа взять она это грейн вернуться обратно внутрь
Как они нашли ее, кто им сказал?	как найти она сказать
Вы! Убирайтесь из моего дома!	вы убираться мой дом
Все, уже ухожу.	весь уходить
Рада знакомству, Томми, Госпожа Коннолли.	рада знакомство томми госпожа коннолли
А что касается Вас, г. Коннолли, только идиот вешает Флаги Союза вверх тормашками.	а касаться вы год коннолли идиот вешать флаг союз вверх тормашки
Позор Вам!	позор вы
О, очень хорошо.	о очень хорошо
Очень хорошо.	очень хорошо
Оставайтесь на месте!	оставаться место
О, я сожалею, мисс, Боюсь, что Вы слишком поздно.	о сожалеть мисс бояться вы слишком поздно
Я должен был уже запереть дверь.	я должный запереть дверь
Да? Ну, я хочу купить телевизор.	да ну хотеть купить телевизор
Придите завтра. Пожалуйста.	прийти завтра пожалуйста
Вы ведь будете закрыты?	вы быть закрытый
Что?	что
В течение великого дня?	в течение великое день
Коронация?	коронация
Да, конечно. Великий день.	да конечно великий день
Я уверен, Вы найдете где наблюдать за этим. Пожалуйста уйдите.	я уверенный вы найти наблюдать это пожалуйста уйти
Половина Лондона получила телики, фактически все их продали вы.	половина лондон получить телик фактически продать вы
- Есть на то причины. - И какие же?	есть причина и какой же
Голодна!	голодный
- Голодна! - Что это?	голодный что это
Это просто телевидение.	это просто телевидение
Одна из тех современных программ.	один тот современный программа
Итак,я думаю вы действительно должны немедля уйти.	итакть думать действительно должный немедля уйти
Только когда ответите на мои вопросы.	только ответить мой вопрос
- Почему ваши телики так дешевы? - Такова необходимость.	почему ваш телик дешёвый таков необходимость
Мой долг снабдить как можно больше народу, чтобы они могли наблюдать за Коронацией.	мой долг снабдить народ мочь наблюдать коронация
Может мы и потеряли Империю, но мы все еще должны гордится!	мочь потерять империя должный гордиться
20 миллионов человек смогут наблюдать, просто вообразите это!	20 миллион человек смочь наблюдать просто вообразить это
И 20 миллионов человек не могут быть неправы, а?	и 20 миллион человек мочь неправый а
Итак, почему бы вам не пойти домой и наслаждаться великим днем?	итак почему пойти домой наслаждаться великое днём
Нет, я не уйду пока не увижу все.	нет уйти пока увидеть весь
Я должен закрываться.	я должный закрываться
Г. Магпи...	год магпить
что-то происходит там.	чтоть происходить там
Обычные люди чем-то заражены и меняются,	обычный человек чемтый заразить меняться
а единственная новая вещь в доме, телевизор.	единственный новый вещь дом телевизор
Ваши телевизоры.	ваш телевизор
Что происходит?	что происходить
Я знал, что это случится.	я знать это случиться
Я знал, что буду пойман.	я знать быть поймать
Теперь, только Вы и я.	теперь вы я
И как вы будете оправдываться?	и быть оправдываться
- Что на самом деле происходит? - По мне так...	что самый дело происходить по так
немного покоя.	немного покой
- И откуда? - От нее.	и откуда от нея
- Но это просто женщина в телевизоре, это программа. - Какая хорошенькая девушка.	но это просто женщина телевизор это программа какой хорошенький девушка
О, мой Бог. Вы говорите со мной?	о бог вы говорить я
Да. Я говорю с тобой, крошка.	да я говорить ты крошка
Холодноватая погода для этого времени года, так ведь?	холодноватый погода время год ведь
Кто же вы?	кто вы
Я Кукловод!	я кукловод
И я хочу есть!	и хотеть есть
Магпи, помогите мне!	магпить помочь я
Просто думай о том как много народа смогут наблюдать Коронацию.	просто думать народ смочь наблюдать коронация
20 миллионов человек.	20 миллион человек
Больше не будет все попрежнему.	большой попрежний
- Я сожалею, очень. - Помогите мне!	я сожалеть очень помочь я
Спокойной ночи, малыши.	спокойный ночь малыш
С самого начала, скажите мне все, что Вы знаете.	с самый начало сказать весь вы знаете
Ну, для начала,	ну начало
Я знаю, что Вы не сможете обнять ваш локоть пальцами так, что бы они встретились.	я знать вы смочь обнять ваш локоть палец так встретиться
Не умничайте со мной! Вы были сегодня, на улице Флоризель, а теперь вторглись и сюда.	не умничать я вы сегодня улица флоризель вторгнуться сюда
О, Вы связаны с этим, ошибки быть не может.	о вы связать это ошибка мочь
Вот, сами догадались, Детектив Бишоп...	вот сам догадаться детектив бишоп
- Откуда Вам известно мое имя? - Оно написано у вас на воротнике.	откуда вы известно мой имя оно написать воротник
Спасибо мамочке. Но я не могу помочь вам Детектив,	спасибо мамочка но мочь помочь детектив
Вы толком и не проводите расследование.	вы толком проводить расследование
