cleaned_text	lemm_text
А батя вообще и не поверит!	а батя вообще поверить
Только ты им завтра скажи, чтобы в школу пришли.	только завтра сказать школа прислать
Садись на место.	садиться место
А тетрадку я себе на память оставлю.	а тетрадка память оставить
Громов!	громов
А ты останься.	а остаться
Иди, иди сюда!	идти идти сюда
Что?	что
Твоя работа?	твой работа
А... ну... это Котина.	а ну это котина
Работа-то Котина, а оценка чья?	работато котина оценка чей
Не знаю, не моя.	не знать мой
Твоя, наверное, мам.	твой наверное мама
Ты же учитель, ты и поставила.	ты учитель поставить
Я при чем тут?	я тут
Давай?	давать
Чего?	что
Давай-давай!	давайдавать
Мам, может это золото?	мама это золото
Что, оценки хочешь сам ставить, да?	что оценка хотеть ставить да
Угу, ты разрешишь...	угу разрешить
Ну отчего же? Разрешу, только для этого ты должен выучить все правила,	ну отчего же разрешить должный выучить правило
а также исключения из правил.	также исключение правило
Идет?	идти
Нет, мам, ты лучше сама, это твоя работа.	нет мама сам это твой работа
Иди!	идти
Иди, иди!	идти идти
Михалыч, я слышал, что дважды героям при жизни памятник положен.	михаил слышать дважды герой жизнь памятник положить
Бюст, а не памятник!	бюст памятник
Не-е, бюст это несолидно.	нея бюст это несолидно
Почему это несолидно?	почему это несолидно
Ну какой у тебя бюст?! Смотреть не на что!	ну бюст смотреть что
А вот у моей Ленки пятый номер. Это я понимаю!	а мой ленка пять номер это понимать
А я вот все думаю: где мы твой памятник поставим?	а думать твой памятник поставить
В поселке вроде негде, разве что у шахты...	в посёлок вроде негде шахта
Люди тогда испугаются, на работу никто не придет!	человек испугаться работа никто прийти
Вот трепло!	вот трепло
Слышь, Федор, а че это Серегин нас всех обнял, а тебя нет?	слышь фёдор че это серегин обнять нет
А чего меня обнимать? Я не баба.	а обнимать я баба
А мы, значит, по твоему бабы?	а мы значит твой баба
Что-то ты не радуешься нашему празднику...	чтоть радоваться наш праздник
Чему радоваться-то?	что радоватьсять
Мы сегодня рекорды ставим, а их завтра нам в план,	мы сегодня рекорд ставить завтра мы план
как обычную норму, за те же деньги.	обычный норма тот деньга
Завтра мы и другие планы перевыполним.	завтра другой план перевыполнить
Мы-то перевыполним нам все условия создадут.	мытый перевыполнить мы условие создать
А остальные как?	а остальной как
Тебе не нравится работать в нашей бригаде?	ты нравиться работать наш бригада
Хочешь к остальным?	хотеть остальной
Да я не об этом.	да это
А я об этом. Может, ты и пить с нами не будешь?	а это мочь пить мы быть
Может и не буду.	мочь быть
Меня семья ждет.	я семья ждать
Ну-ну...	нуна
''Когда мы были на войне тогда мы были на войне	когда война война
там каждый думал о своей любимой или о жене.	каждый думать свой любимый жена
Я конечно думать мог я конечно думать мог	я думать мочь думать мочь
когда на трубочку глядел на голубой ее брелок..'	трубочка глядеть голуба брелок
Давай!	давать
Оп!	оп
Привет рекордсменам!	привет рекордсмен
И тут гуляют!	и гулять
Здорово, Федор!	здорово фёдор
Здорово, Тарас Максимыч!	здорово тарас максим
Отдыхаем?	отдыхать
Да, отдыхаем.	да отдыхать
Н-о-о-о! А вот мы с Максимычем трудимся!	нооо а максим трудиться
Ой!	ой
Осторожно!	осторожно
Семка вчера опять с Пашкой дрался из-за Насти.	сёмкий вчера пашка драться изз настя
Так друг друга ремнями в кровь исхлестали места живого нет!	так друг друг ремень кровь исхлестать место живой нет
Софья боится поубивают друг друга.	софья бояться поубивать друг друг
А ты знаешь, я парней понимаю.	а знаешь парный понимать
Что делать-то будем, Федор?	что делатьто быть фёдор
Ну что делать? Давай расскажем все как есть.	ну делать давать рассказать есть
Взрослые уже, поймут.	взрослый уже понять
Ну а ты мне что расскажешь?	ну рассказать
В Москву его переводят.	в москва переводить
Ну?	ну
Ну а я ему говорю, прям щас езжай и Пашку с собой забирай.	ну говорить прям щас езжать пашка себя забирать
Вот и решение.	вот решение
Ну а он?	ну он
А он говорит, что я ему нужна.	а говорить нужный
А Пашка стало быть ему не нужен?	а пашка стать нужный
Нет, я ему точно башку отшибу...	нет точно башка отшибить
Это ты хорошо придумал: он в могиле, ты в Сибири и пятеро по лавкам!	это придумать могила сибирь пятеро лавка
Какие это пятеро?	какой это пятеро
Ааа, Пашку посчитала.	ааа пашка посчитать
Не-ет, Федь, не Пашку...	неть федя пашка
Да ты что?!	да что
Правда что ли?	правда ли
Угу...	угу
Ну-ка дай послушать!	нук дать послушать
Да ты что?! Не слышно же еще! Не слышно! Не слышно!	да что не слышный ещё не слышный не слышный
Маш! Главное чтобы мужик!	маш главный мужик
Ну-ка, ну-ка погоди! А ну-ка в дом, в дом, а то простудишься!	нук нук погодить а нук дом дом простудиться
Пошли пошли!Давай давай!	послать пошлидавать давать
Пошли!	послать
Эх, черт! Ну-ка вставай!	эх черта нук вставать
Вставай, Михалыч! Не дури, не дури!	вставать михаил не дурь дурь
Не дури, Михалыч! Замерзнешь!	не дурь михаил замёрзнуть
Я?! Замерзну?!	я замёрзнуть
Я же каменный!	я каменный
Каменный, каменный...	каменный каменный
Я... Я памятник! Понял?	я я памятник понять
Памятник, памятник...	памятник памятник
И вот здесь стоять буду, чтобы все видели...	и стоять быть видеть
Пароходы плывут привет Барыкину!	пароход плыть привет барыкин
Самолеты летят привет Бары...	самолёт лететь привет бар
Эй, Семка! Принимай отца!	эй сёмкий принимать отец
Семка! Забодай тебя комар...	сёмкий забодать комар
Давай, давай!	давать давать
Забодай, забодай...	забодать забодать
Что такое? Ты уроки сделал?	что такой ты урок сделать
Да сделал, сделал, пап.	да сделать сделать папа
Сына, ты учись! Я все для тебя сделаю! Все!	сын учиться я сделать весь
Я... Я уголь буду грызть а сделаю!	я я уголь быть грызть сделать
Я...Ты у меня будешь большим человеком.	яты быть больший человек
Я всех вас в люди выведу!	я человек вывести
Я не жил так хоть вы поживете...	я жить пожить
Эй! Ё...	эй ё
Доблестным Советским шахтерам ура!	доблестный советский шахтёр ура
С праздником, Петровна!	с праздник пётр
Здорово, Федор! Здорово!	здорово фёдор здорово
Здорово, Петруха! С праздником!	здорово петруха с праздник
Петрович, закуси, закуси...	пётр закусить закусить
Эх! Хорошо!	эх хорошо
Ну что, Михалыч? Сегодня катаемся?	ну что михаил сегодня кататься
Вчера накатался.	вчера накататься
Да да да да да да да...	да да
