cleaned_text	lemm_text
Спасибо за приглашение.	спасибо приглашение
Пожалуйста.	пожалуйста
Гревесам нужно идти домой, чтобы отпустить няню. Можешь их проводить?	гревесы нужно идти домой отпустить няня мочь проводить
Дэвид, я хотела...	дэвид хотеть
Это был несчастный случай.	это несчастный случай
Кто ты, черт подери?	кто ты черта подрать
Я пытался объяснить, Макс.	я пытаться объяснить макс
Мая знает?	май знать
Макс, подожди!	макс подождать
Ты убил Дэвида. - Я Дэвид!	ты убить дэвид я дэвид
Я собираюсь поговорить с Маей. - Макс, я...	я собираться поговорить мая макс я
Она должна знать, кто ты.	она должный знать ты
Ты убийца!	ты убийца
Это следовало бы сделать тебе.	это следовать сделать ты
Этот засранец хотел выдать тебя. Ну давай!	этот засранец хотеть выдать ты ну давать
Не прикасайся к нему!	не прикасаться он
Ты же не собираешься и его хоронить в саду как какой-то дилетант? Давай!	ты собираться хоронить сад какойтый дилетант давать
Или ты ждешь, когда сюда выйдут жена с дочерью?	или ждать сюда выйти жена дочь
Ненавижу подобные моменты. Никогда не знаешь, что сказать.	ненавидеть подобный момент никогда знаешь сказать
Здесь довольно мило днем, когда сияет солнце и щебечут птицы.	здесь довольно мило днём сиять солнце щебетать птица
Он намеревался выдать тебя.	он намереваться выдать ты
Это был единственный способ, и ты это знаешь.	это единственный способ это знаешь
Мая? - Где ты был все это время?	май где это время
Один момент. - Потанцуй со мной, пошли!	один момент потанцевать я послать
Иди домой, пожалуйста! - Эй, что с тобой?	идти домой пожалуйста эй ты
Слушай меня. Мы в опасности.	слушай я мы опасность
Надевай пальто. Я заберу Леони.	надевать пальто я забрать леонить
Извините.	извинить
Пусть она спит.	пусть спать
- Нам нужно убираться отсюда. - Почему?	мы нужно убираться отсюда почему
Доверься мне. Пошли.	довериться я послать
Дэвид!	дэвид
Куда ты идешь?	куда идти
Я не могу сейчас объяснить. Подожди...здесь. Жди, пока мы не будем на другой стороне.	я мочь объяснить подождиздесить ждать пока быть сторона
Какой другой стороне? - Мая, пожалуйста.	какой сторона май пожалуйста
Я просто пытаюсь защитить вас. - От чего?	я просто пытаться защитить вы от что
Несколько шагов. Это все, о чем я тебя прошу, ладно?	несколько шаг это весь просить ладный
Осторожно, осторожно.	осторожно осторожно
Мы почти пришли. Идём.	мы прислать идти
Мамочка, мне холодно.	мамочка холодный
Мне тоже.	я тоже
Папочка просто хочет нам что-то показать.	папочка просто хотеть мы чтоть показать
