cleaned_text	lemm_text
Антракт 5 минут. Как я выгляжу? Перестань дуться.	антракт 5 минута как выглядеть перестать дуться
Я спешу.	я спешить
Послушай, я обожаю смотреть, как ты танцуешь, но не сейчас.	послушать обожать смотреть танцевать сейчас
Для меня ты - новая Жозефин Беккер!	для новый жозефина беккер
Тебе следует подготовить один из ее номеров.	ты следовать подготовить номер
Костюм тебе бы очень подошел.	костюм ты очень подойти
За неимением другого, я могла бы всегда есть бананы.	за неимение другой мочь банан
Будь любезна, скажи. Как? Все новое. Честно, как я выгляжу?	быть любезный сказать как весь новое честно выглядеть
Очень хорошо.	очень хорошо
Зачем так нервничать! Не впервые же встречаетесь с женщиной!	зачем нервничать не впервые встречаться женщина
Да, но Флоранс - это другое...	да флоранс это другой
Кто эта Флоранс? Английская королева, что ли?	кто этот флоранс английский королева ли
Смеешься! Я не пригласил бы Английскую королеву даже сесть.	смеяться я пригласить английский королева сесть
Потребовал бы сразу раздеться. А Флоранс...	потребовать сразу раздеться а флоранс
Улица Лозье, пожалуйста.	улица лозий пожалуйста
-Я не убрала в Вашей комнате. -Ничего. Уже поздно.	я убрать ваш комната ничто уже поздно
Все будет хорошо, увидите. Смелей!	весь хорошо увидеть смелеть
Ну, что за...	ну за
Ты меня не обнимешь?	ты обнять
Я опаздываю.	я опаздывать
Ты мокрая!	ты мокрый
Мне казалось, ты опаздываешь.	я казалось опаздывать
Что ты делаешь? А если кто-нибудь пройдет?	что делать а ктонибыть пройти
Ева, предупреждаю, я не люблю это! Не люб-лю!	ева предупреждать любить это не любить
Закрой эту дверь! Закрой дверь!	закрыть дверь закрыть дверь
Черт!	черта
Борис! Твой портфель! Борис?!	борис твой портфель борис
О, нет! Нет! Нет! Черт! Ну, что ты будешь делать!	о нет нет нет черта ну быть делать
-Здравствуйте. -Здравствуйте.	здравствовать здравствовать
Глупая случайность. Я была на площадке, а ключ остался изнутри.	глупый случайность я площадка ключ остаться изнутри
Я вышла на минутку, позвать Бориса, он забыл портфель.	я выйти минутка позвать борис забыть портфель
А дверь захлопнулась! Можно позвонить?	а дверь захлопнуться можно позвонить
Надо вызвать мастера.	надо вызвать мастер
-Это невозможно! -Почему?	это невозможно почему
Послушайте, Я жду...	послушать я ждать
Вы не оставите меня здесь в таком виде!	вы оставить такой вид
Конечно, оставлю. Нет, нет, если она застанет Вас в таком виде?	конечно оставить нет нет застать вы такой вид
Я не знаю, как она воспримет.	я знать воспринять
Это ужасно! Что мне делать? Здесь нет даже консьержа...	это ужасно что делать здесь консьерж
-А Ваше окно открыто? -Да.	а ваш окно открыто да
Я перешагну на балкон, пролезу через окно и открою Вам дверь.	я перешагнуть балкон пролезть окно откроить вы дверь
-Это опасно? -Нет, нет.	это опасный нет нет
Позвольте войти. Это же смешно. Могут увидеть...	позволить войти это смешно мочь увидеть
Ладно, входите. Там есть халат, если хотите.	ладный входить там халат хотеть
-Осторожно! -Не беспокойтесь...	осторожно не беспокоиться
Черт, черт...	черта черта
-Я могу помочь? -Нет, нет, все нормально.	я мочь помочь нет нет нормальный
Подождите.	подождать
-Ааааааааа! -Ааааааа!	ааааааааа ааааааа
Не кричите так! Господи, мы чуть не упали!	не кричать так господь упасть
Постарайтесь ухватиться за перекладину и отпустите меня!	постараться ухватиться перекладина отпустить я
Постарайтесь встать на стул, спокойно, спокойно.	постараться встать стул спокойно спокойно
Да не держите меня! Отпустите!	да держать я отпустить
-Что с Вами? -Ужас! Судорога.	что вы ужас судорога
-Все в порядке? -Да, да. Нормально.	весь порядок да да нормальный
-Вы уверены? -Да, да, все в порядке.	вы уверить да да порядок
Сейчас открою.	сейчас откроить
Как больно! Как больно!	как больно как больно
Эй! Телефон!	эй телефон
-Алло! Да! -Алло!	алло да алло
-Это квартира Яна Дюкудрея? -Да, да. Хотите поговорить с ним?	это квартира ян дюкудрей да да хотеть поговорить он
Подождите! Сейчас накину халат и позову.	подождать сейчас накинуть халат позвать
Нет, нет!	нет нет
-Я сейчас. -Нет, нет! Не беспокойтесь! Спасибо!	я сейчас нет нет не беспокоиться спасибо
Да-а. Кажется, я сделала глупость.	даа кажется сделать глупость
Что он там делает?	что делать
Что она со мной сделала!	что я сделать
Уф-ф! Еще и царапалась!	уфф ещё царапаться
Борис!	борис
Борис, Борис?! Борис, послушай!	борис борис борис послушать
Что это с ним?	что это он
Борис? Это не то, что ты думаешь, поверь!	борис это то думать поверь
Борис, ты там?	борис там
-Что Вы с ним сделали? -Что я сделал? Это он меня выкинул!	что вы сделать что сделать это выкинуть
Надо было ему объяснить!	надо объяснить
Вы думаете, он позволил? Какой-то бешеный, Ваш друг.	вы думать позволить какойтый бешеный ваш друг
-Борис? -Сейчас придет Флоранс!	борис сейчас прийти флоранс
-Мне все равно! -Что?	я равно что
-Меня не волнует Ваша подруга! -Откуда Вы узнали?	я волновать ваш подруга откуда вы узнать
Она звонила, когда Вы были рядом.	она звонить вы ряд
-Флоранс звонила? -Думаю, она, была недовольна.	флоранс звонить думать она недовольный
Ничего не понимаю! Почему Флоранс была недовольна?	ничто понимать почему флоранс недовольный
Думаю потому, что я попросила подождать, пока накину халат...	думать потому попросить подождать пока накинуть халат
Иначе говоря, Вы дали ей понять, что не одеты!	иначе говорить вы дать понять одетый
Но так и было!	но быть
-Извините, я не нарочно. -Уходите, умоляю! Убирайтесь!	извинить нарочно уходить умолять убираться
С удовольствием, если бы могла открыть дверь...	с удовольствие мочь открыть дверь
Давайте.	давать
Прошу!	просить
Борис?	борис
Борис, позволь объяснить, что произошло.	борис позволить объяснить произойти
-Алло? -Алло?	алло алло
Флоранс!	флоранс
Не знаю, сказала ли Ваша подружка, но я звонила недавно...	не знать сказать ваш подружка звонить недавно
Она мне не подружка!	она подружка
Ах, да - Ваша домработница, которая убирает голой.	ах ваш домработница который убирать голый
Флоранс, это - ужасное недоразумение! Вы где?	флоранс это ужасный недоразумение вы где
"Внизу, в ""Табачной лавке""."	внизу табачный лавка
Поднимайтесь, сейчас же, прошу Вас.	подниматься же просить вы
Это - глупая история, я все объясню. Мы еще вместе посмеемся!	это глупый история объяснить мы вместе посмеяться
Это невероятно, мне надо поговорить с Вами.	это невероятно поговорить вы
-Флоранс, Вы там -Да.	флоранс вы да
Флоранс, идите. Хотите, я спущусь?	флоранс идти хотеть спуститься
Я иду.	я идти
Борис. Ты должен мне поверить! Клянусь, это правда.	борис ты должный поверить клясться это правда
Это же смешно!	это смешно
Уходи.	уходить
Помоги мне - уходи.	помочь уходить
О-о, нет!	оо нет
-Куда Вы? -Борис выгнал меня, и все из-за Вас!	куда вы борис выгнать я изз вы
Опять начинается?! Сейчас же уходите!	опять начинаться сейчас уходить
-Позвольте вызвать такси! -Неет!	позволить вызвать такси неть
Вы не можете выставить меня вот так!	вы мочь выставить так
-Буду я церемониться!. -Дайте, хотя бы, одеться.	быть церемониться дать хотя бы одеться
-Исключено! Убирайтесь! -Но куда я пойду в таком виде!	исключить убираться но пойти такой вид
-Мне все равно! -Меня остановит полиция!	я равно я остановить полиция
-Мне плеать! -У меня даже денег нет на такси!..	я плеать у деньга такси
Держите!	держать
Ай!	ай
Вы - негодяй!	вы негодяй
Флоранс! Флоранс!	флоранс флоранс
-Извините! -О, ла-ла!	извинить о лал
Пойду поговорю с Вашим другом. Пора положить конец этой истории!	пойти поговорить ваш друг пора положить конец история
Он не может выставить Вас на улицу.	он выставить вы улица
Он поймет. Человек, все таки.	он понять человек таки
Не беспокойтесь, все уладится.	не беспокоиться уладиться
Можем спокойно поговорить две минуты?	мочь спокойно поговорить два минута
Я объясню, она, она...	я объяснить она она
Флоранс!	флоранс
Заходите, быстрей. Делайте, что говорю.	заходить быстрый делать говорить
Как хорошо, что Ваша подружка еще здесь.	как хорошо ваш подружка здесь
Она не подружка!	она подружка
Не волнуйтесь, сцен ревности не будет.	не волноваться сцена ревность быть
Послушайте, мне жаль, но я хотел бы знать, что там происходит.	послушать жаль хотеть знать происходить
Вы мне дадите две минуты?	вы дать два минута
Помоги мне, старина!	помочь я старина
Я не хочу делать тебе больно.	я хотеть делать ты больно
-Понял? -Да.	понять да
Убирайся, чтобы я тебя не видел. Помоги.	убираться видеть помочь
Я помогу.	я помочь
Что Вы там застряли? Идите же?	что вы застрять идти же
Не могу! Скажите, чтобы он меня отпустил!	не мочь сказать отпустить
Да отпустите Вы его!	да отпустить вы он
Слышите? Она хочет, чтобы Вы меня отпустили.	слышать она хотеть вы отпустить
Быстрей же!	быстрый же
-Спасибо. -Пошли.	спасибо послать
Я положила ее вещи в Вашу камнату.	я положить вещий ваш камнат
Да?	да
Откройте бутылку!	открыть бутылка
-Бутылку? -Да, бутылку шампанского!	бутылка да бутылка шампанский
-Хорошо... -Быстрей!	хорошо быстрый
Садитесь.	садиться
-Эй, как зовут Вашу подружку? -Она мне не подружка.	эй звать ваш подружка она подружка
-Как Вас зовут? -Ева, мадам...	как вы звать ева мадам
-Зовите меня Флоранс. Ну как? -Сейчас, сейчас!	звать флоранс ну как сейчас сейчас
Звонят. Этому не будет конца.	звонить это конец
-Это мой муж. -Что!?	это муж что
Я чуть было не столкнулась с ним у выхода.	я столкнуться выход
-Он меня не заметил. Откройте. -Надо спрятаться!	он заметить открыть надо спрятаться
