cleaned_text	lemm_text
Ей богу, ты начинаешь из меня дурака делать, со своими мотоциклами!	она бог начинать дурак делать свой мотоцикл
Все не можешь понять, что тебе кранты?	весь мочь понять ты кранты
"Ты же сам сказал: ""Все кончено!"" Было дело?"	ты сказать весь конченый быть дело
Твои подростковые мечты, твой статус, твои чемпионы...	твой подростковый мечта твой статус твой чемпион
Даже твой Джоел Роберт сказал тебе убираться к черту.	даже твой джоесть роберт сказать ты убираться черта
У Джоела Роберта есть это право.	у джоесть роберт это право
- Ты знаешь кто он такой? - Нет.	ты знаешь такой нет
Шестикратынй чемпион мира.	шестикратынть чемпион мир
Межу 1962 и 1972.	межа 1962 1972
Он может сказать мне вали отсюда.	он сказать валить отсюда
Рядом с ним я - кусок дерьма. И ты тоже. Да все мы.	ряд кусок дерьмо и тоже да мы
- Даже хуже: мы мертвецы. - Ты мертвец! А я живой!	даже худой мертвец ты мертвец а живой
Я живой! Я замерз и я голоден! И мне хочется напинать кое чью задницу!	я живой я замёрзнуть голодный и хотеться напинать кой чей задница
Ну давай, избей калеку! Давай!	ну давать избить калека давать
Да, кому какое дело?! Я просто хочу в Финляндию. Иди ты!	да кома какой дело я просто хотеть финляндия идти ты
Ну и езжай в свою сраную Финлядию!	ну езжать срануй финлядия
- Смотри еще один! - Нет, нет, поехали дальше!	смотреть один нет нет поехать далёкий
- Нельзя же оставить его здесь. - Ну пожалуйста, у нас же отпуск.	нельзя оставить здесь ну пожалуйста отпуск
- Почему нет? - Дорогой, я же не мать Тереза.	почему нет дорогой мать тереза
- Давай кто-нибудь другой возьмет его. - Нет, мы не можем его оставить тут.	давать ктонибыть взять он нет мочь оставить тут
Дорогой, ты ведь не знаешь, что это за тип, а может он преступник.	дорогой знаешь это тип преступник
- Преступник? Не смеши меня. - Мы и так уже потеряли полчаса.	преступник не смешить я мы потерять полчаса
- Простите, это ваш друг? - Нет, нет, не останавливайтесь.	простить это ваш друг нет нет останавливаться
Хорошие люди.	хороший человек
Откуда это у тебя?	откуда это ты
Из холодильника этих хороших людей.	из холодильник этот хороший человек
С меня довольно этого. Они выпили весь наш ликер.	с довольно это они выпить весь наш ликёр
Напились в стельку. Сожрали всю нашу еду.	напиться стелька сожрать наш еда
- Домой их тоже ты понесешь? - Но они же инвалиды...	домой понести но инвалид
Хватит! Больше ни слова об этом. Давай поехали.	хватить большой слово это давать поехать
Отец наш сотворивший небеса,	отец наш сотворить небо
да святится имя Твое,	святиться имя твой
да придет царствие твое...	прийти царствие твой
на землю, как оно есть на небесах...	земля оно небо
Как там дальше?	как далёкий
Кажется начался отлив.	кажется начаться отлив
Козел!	козлы
Послушай это.	послушать это
"""Хакан Карлквист (Швеция), чемпион мира 1988 года."	хакан карлквист швеция чемпион мир 1988 год
"в Намюре..."" Прямо там, где мы были."	намюр прямо там быть
"Х. Карлквист: ""Намюр хорошо подходит для фарса,"	х карлквист намюр подходить фарс
"поскольку трасса идет прямо около бара ""Monument Chalet""."	поскольку трасса идти прямо около бар monument chalet
И там мы были.	и быть
"Х. Карлквист: ""Я всегда завидовал зрителям,"	х карлквист я завидовать зритель
сидящим на терассе этого бара,	сидеть терасс бар
в то время как мы, жарились на наших мотоциклах.	время мы жариться наш мотоцикл
Я просил своего брата, заказывать мне там пиво,	я просить свой брат заказывать пиво
и если у меня оставалось время, я останавливался рядом.	оставаться время останавливаться ряд
"Выпивал пиво и выходил с пеной на усах. Это было здорово""."	выпивать пиво выходить пена ус это здорово
Да, было время!	да время
Можешь представить сегодня Шумахера, останавливающегося, чтобы выпить пива?	мочь представить сегодня шумахер останавливаться выпить пиво
- А что это? - Это? Это мой друг. Здесь автоматическое сцепление.	а это это это друг здесь автоматический сцепление
А почему автоматическое?	а почему автоматический
Ну, на самом деле это коллекционная модель.	ну самый дело это коллекционный модель
Таких в мире всего три. Один в Англии, другой во Франции, а этот мой.	такой мир три один англия франция мой
Поэтому он очень дорогой. Смотрите, но не трогайте.	поэтому очень дорогой смотреть трогать
Порядок? Ну давай. Три минуты и назад, хорошо?	порядок ну давать три минута назад хорошо
- Ты куда собрался? - Ээ... сейчас вернусь.	ты собраться ээ вернуться
- Видишь его? Видишь? - Нет, нет.	видеть он видеть нет нет
Ебучий край.	ебучий край
Это ни хера не смешно.	это хер смешно
Уже пол-одиннадцатого!	уже полодиннадцать
Ну где эта сволочь? Это уже слишком...	ну этот сволочь это слишком
Очень, очень глупый, конченый идиот!	очень очень глупый конченый идиот
Этот ублюдок, преспокойно бросил мой мотоцикл на землю!	этот ублюдок преспокойно бросить мотоцикл земля
Давай!	давать
Вылезай! Вылезай!	вылезать вылезать
Эй! Поднимайся!	эй подниматься
Какого хера, ты бросил здесь мой мотоцикл?	какой хер бросить мотоцикл
Это не смешно!	это смешно
Три минуты я сказал!	три минута сказать
Три ебаных минуты!	три ебаный минута
Посмотрите на мой мотоцикл...	посмотреть мотоцикл
Это из-за таких ублюдков как вы, другие ублюдки, считают инвалидов обманщиками.	это изз такой ублюдок вы другой ублюдок считать инвалид обманщик
Бараны! Ёбаные французкие идиоты!	баран ёбаный французкий идиот
Больше никогда...	большой никогда
Благодари моего брата, он в такой же коляске,	благодарить мой брат коляска
а то я бы тебе так навалял! Кретин, ебаный идиот!	ты навалять кретин ебаный идиот
- Вы говорите по-английски? - Да.	вы говорить поанглийски да
У меня друг, там на дороге...	у друг дорога
На электрическом стуле... батарея почти разряжена...	на электрический стул батарея разрядить
Если возможно... есть это... зарядить батарею...	если возможно это зарядить батарея
- Электросеть? - Да, электросеть. - Да, конечно - Да?	электросеть да электросеть да да
- На дороге... помогите, если можете... - Да я помогу ему.	на дорога помочь мочь да помочь он
- Я могу... - Да, да. Можете поесть.	я мочь да да мочь поесть
- Берите сами и ешьте. - Спасибо вам.	брать сам есть спасибо вы
- Здравствуйте! - Здравствуйте!	здравствовать здравствовать
Отрежьте... эту колбасу.	отрезать колбаса
- Вот это, пожалуйста... - Это соус	вот это пожалуйста это соус
Финляндия.	финляндия
Я еду в Финляндию.	я еда финляндия
Несчастный случай, произошел со мной не там, но мне надо в Финляндию.	несчастный случай произойти я там финляндия
- А соуса нет? - Соуса нет.	а соус нет соус нет
- Нет? - Нет.	нет нет
Ладно.	ладный
Сколько вы еще будете заряжаться?	сколько быть заряжаться
- Еще пару минут... - Пару минут!?	ещё пара минута пара минута
Да все нормально... Еще чуть-чуть и все.	да нормальный ещё чутьчуть весь
"Теперь ты сможешь купить свой автоматический ""Husqvarna"""	теперь смочь купить свой автоматический husqvarna
и победить в любом Гран-при. Пошли.	победить любой гранпереть послать
Догоняй, чертяка!	догонять чертяка
Думаешь, мы идиоты?	думать идиот
Ну вот мы и здесь.	ну здесь
Который из вас козлов, сделал мой прицеп?	который козлов сделать прицеп
Он не слышит нас в своих наушниках.	он слышать свой наушник
Верните нам наши ноги!	вернуть мы наш нога
- Верните наши ноги! - Ебанаты!	вернуть наш нога ебанат
Это ты сделал мой прицеп?	это сделать прицеп
Уверен, вы только делаете вид, что работаете.	уверенный делать вид работать
Аферисты!	аферист
Думаете, инвалидам весело?	думать инвалид весело
Вы заплатите за это!	вы заплатить это
И заплатите сполна!	и заплатить сполна
Я привез свою медицинскую карту!	я привезти медицинский карта
Из-за вашего паршивого прицепа, мы потеряли ноги! Понимаете?	изз ваш паршивый прицеп потерять нога понимать
Из-за вашего хлама!	изз ваш хлам
- Мы требуем возместить ущерб! - Шесть миллионов евро.	мы требовать возместить ущерб шесть миллион евро
- Шесть миллионов на человека. - Каждому.	шесть миллион человек каждый
 Посмотрите на это, это из-за техники Аалтра.	посмотреть это это изз техника аалтр
Я не для того проехал 2000 миль,	я проехать 2000 миля
чтобы мне не давали поговорить с директором!	давать поговорить директор
Позовите менеджера! Менеджер!	позвать менеджер менеджер
Менеджера! Я хочу поговорить с ним, вы слышите?	менеджер я хотеть поговорить он слышать
Компенсацию!	компенсация
Шесть миллионов!	шесть миллион
Шесть миллионов евро!	шесть миллион евро
Кто здесь отвечает за написание инструкции?	кто отвечать написание инструкция
Никто? Нет переводчика?	никто нет переводчик
Я хочу свои деньги! Мою компенсацию!	я хотеть свой деньга мой компенсация
- Шесть миллионов! - Вы поняли?	шесть миллион вы понять
Я хочу увидеть менеджера, немедленно!	я хотеть увидеть менеджер немедленно
А вы все болтаете со своей подругой, и хоть бы что.	а болтать свой подруга что
Мы потеряли ноги! Что бы вы чувствовали на нашем месте?	мы потерять нога что чувствовать наш место
Аалтра в другой стороне города.	аалтр сторона город
Шесть миллионов долларов.	шесть миллион доллар
Вижу, вы хорошо знаете мою технику.	видеть знаете мой техника
За мир!	за мир
Хотите работать на меня?	хотеть работать я
Да, а почему бы и нет.	да почему нет
- Когда начинаем? - Завтра.	когда начинать завтра
- Завтра? - Да, в семь утра. - В семь?	завтра да семь утро в семь
Или в восемь. Восемь часов.	или восемь восемь часы
В восемь часов.	в восемь часы
Такой дождь здесь часто? Да?	такой дождь часто да
- Только по воскресеньям. - Только по воскресеньям?	только воскресение только воскресение
Но сегодня же понедельник...	но сегодня понедельник
Посвящается калеке Либертаду.	посвящаться калека либертад
