cleaned_text	lemm_text
Думаю, они почувствовали себя счастливыми во Франции.	думать почувствовать счастливый франция
Это красиво, понимаешь?	это красиво понимать
Вроде как...	вроде как
Ты спишь?	ты спать
Это - я.	это я
Что у вас было сегодня?	что сегодня
- Математика, физика, английский. - Это выматывает.	математика физик английский это выматывать
Хочу спать. Всю ночь не спала - читала.	хотеть спать весь ночь спасть читать
Тогда - залезай.	тогда залезать
Только не начинай!	только начинать
Твоя мама не подумает, что это странно?	твой мама подумать это странно
Она не знает, что мы - одноклассницы.	она знать одноклассница
Хочу спать.	хотеть спать
Я тоже. Еле живая.	я тоже еле живой
- Хорошо. - Эй, отодвинься.	хорошо эй отодвинуться
Не захватывай всю кровать.	не захватывать кровать
Ты - просто вредина.	ты просто вредина
Тут столько места. У тебя огромная кровать.	тут столько место у огромный кровать
Это ещё не причина.	это ещё причина
Я хочу сигарету.	я хотеть сигарета
У тебя есть?	у есть
Вот и мой папа.	вот папа
Привет, Mартина.	привет mартин
Что вы тут замышляете? Разве нет уроков?	что замышлять разве урок
Мы отдыхаем.	мы отдыхать
- Эй, Папа. <i>- Уроков больше не будет.</i>	эй папа i урок будетi
Мартина считает, ты симпатичный. Говорит - у тебя красивые глаза.	мартин считать симпатичный говорить красивый глаз
Мне присоедиться к вам?	я присоедиться вы
- Места не хватит. - Перестаньте дурачиться.	место хватить перестать дурачиться
- Я забыла сказать тебе. - Что?	я забыть сказать ты что
Я тут валяла дурака с твоим братом.	я валять дурак твой брат
Не может быть!	не быть
С моим братом?	с мой брат
Это ерунда. Но не говори ему.	это ерунда но говорить он
Кажется, для него это важно. Я поклялась молчать.	кажется это важный я поклясться молчать
А ты не теряешься.	а теряться
Это было всего несколько минут.	это несколько минута
10 минут - один раз, днём.	10 минута раз днём
Не говори ему, слышишь?	не говорить он слышать
Не говори мне, что ты занят.	не говорить я занятый
Ведь я просил сделать всё к 2-м часам.	ведь просить сделать весь 2м часы
Я хотел бы уйти в 4 часа.	я хотеть уйти 4 час
Ну, я вернусь к 2-м. Я еду в Правление.	ну вернуться 2м я еда правление
В Правление?	в правление
Это что?	это что
Проверь это.	проверить это
Можно распороть их.	можно распороть они
Я помогу тебе с рукавами.	я помочь ты рукав
