cleaned_text	lemm_text
расписанная.	расписать
Эй ты, кончай музыку заводить!	эй ты кончать музыка заводить
Меньше нельзя - государственная ценность.	маленький государственный ценность
- Значит, жена ваша уже там?	значит жена ваш там
Прекрасно, сейчас	прекрасно
вы приедете, мебель расставлена, она	приехать мебель расставить
вас ждет. Когда рядом с тобой человек, который сопереживает все твои	ждать когда ряд ты человек который сопереживать твой
мысли и чаяния - это	мысль чаяние это
ого-го!	огий
У мужчины в жизни два серьезных выбора:	у мужчина жизнь серьёзный выбор
жена и машина.	жена машина
Работа.	работа
Работа и жена.	работа жена
Что требуется от жены?	что требоваться жена
Чтобы она была с тобой	чтобы ты
единым целым,	единый целое
как две части одного и того же плода.	два часть один плод
Если ты, к примеру,	если ты пример
половинка яблока,	половинка яблоко
так она должна быть половинкой яблока.	должный половинка яблоко
Яблока, а не груши или там, понимаете,	яблоко груша там понимать
ананаса.	ананас
- А если муж	а муж
сегодня половинка яблока, завтра половинка помидора,	сегодня половинка яблоко завтра половинка помидор
а послезавтра еще чего-нибудь?	послезавтра чегонибудь
То как быть?	то быть
- Как быть...	как быть
Вот вы человек посторонний, будьте беспристрастны.	вот человек посторонний быть беспристрастный
Я хочу купить машину.	я хотеть купить машина
Приятель продает машину,	приятель продавать машина
дал мне доверенность, я уже неделю вожу, я научился,	дать доверенность неделя возить научиться
редчайший случай. Ну не для себя - для тебя хочу купить машину, понимаешь ты?	редкий случай ну хотеть купить машина понимать ты
- То же самое ты говорил, когда строил дачу.	то самый говорить строить дача
- Сравнила дачу.	сравнить дача
Дача - это тьфу! А машина	дача это тьфу а машина
это...	это
Ну...	ну
- Да покупай, пожалуйста, машину.	да покупать пожалуйста машина
А если я не тот плод,	а плод
который тебе нужен,	который ты нужный
то это очень просто исправить...	это очень просто исправить
- Лена, ты тот плод, тот.	лена плод тот
- Папа!	папа
А я какой плод?	а плод
- Золотой.	золотой
Золотой мой плод.	золотой плод
Доча.	дотать
Золотой	золотой
мой плод.	плод
- Простите, пожалуйста,	простить пожалуйста
я принес деньги.	принести деньга
- Дядя деньги	дядя деньга
нам принес.	мы принести
Дядя	дядя
денежки	денежка
принес.	принести
Деньги...	деньга
Ах да, деньги.	ах да деньга
Я сейчас напишу вам расписку.	я написать расписка
И всё.	и весь
Так, расписка...	так расписка
Что с ним?	что он
- Наверное передумал.	наверное передумать
Что же ты удивляешься?	что удивляться
- Ты же сам сказал, что дача	ты сказать дача
тьфу.	тьфу
- Вы что передумали?	вы передумать
- Что вы! Видите ли я деньги...	что вы видеть деньга
- Забыли?	забыть
Ничего, я тоже однажды	ничто однажды
дочку забыл в электричке.	дочка забыть электричка
Ничего, это случается.	ничто это случается
Ничего страшного, вы знаете, послезавтра я буду в правлении садово-дачных участков.	ничто страшный знаете послезавтра быть правление садоводачный участок
Перед этим заеду за вами	перед это заехать вы
и вы мне отдадите деньги, ничего страшного.	отдать деньга страшный
Прошу прощения, простите ей Богу.	просить прощение простить бог
Ничего, не волнуйтесь,	ничто волноваться
я заеду за вами.	заехать вы
"На ""жигулях""."	на жигули
Ну?	ну
Ты что, думаешь он передумал?	ты что думать передумать
Он просто деньги забыл.	он просто деньга забыть
Понятно?	понятно
Дочь,	дочь
помнишь как папа забыл тебя	помнить папа забыть
в электричке?	электричка
Лена,	лена
подстриги меня, пожалуйста.	подстричь я пожалуйста
- Какой прекрасный романс,	какой прекрасный романс
правда? Скажите, это радио или пластинка?	правда сказать это радио пластинка
Вы не бойтесь, они не укусят.	вы бояться укусить
- Нет, я спрашиваю - это радио или пластинка? - Они не вылетают.	нет спрашивать это радио пластинка они вылетать
- А, понятно. - Они еще не работают...	а понятно они работать
- Здравствуйте!	здравствовать
- Ой, простите, здравствуйте!	ой простить здравствовать
- Здравствуйте!	здравствовать
- Нет, прическа мне у ней не нравится.	нет причёска нравиться
Пудельков	пуделёк
много, а хвост	много хвост
- маленький. - Да что ты всё о	маленький да весь
прическах думаешь?	причёска думать
Накрутют...	накрутть
Шаньонов...	шаньоновый
Разных...	разный
- Здрасьте,	здравствовать
у меня из моих волос,	мой волос
это импортный, он весь блестит.	это импортный весь блестеть
- А мне вообще нравится	а вообще нравиться
когда на лице и на голове ничего нет.	лицо голов нет
- А у меня чего намазано?	а намазать
- Я...	я
за водичкой за свежей сбегаю.	водичка свежеть сбегать
- Сиди.	сидеть
Сиди здесь.	сидеть здесь
И как вам у нас нравится?	и нравиться
- Совершенно замечательно.	совершенно замечательный
- А за сколько вы дачу купили?	а сколько дача купить
- Четыре тысячи.	четыре тысяча
- Это по-божески.	это побожески
Если правда.	если правда
- Честное слово.	честной слово
Мы шесть лет деньги копили.	мы шесть год деньга копить
Муж на дом всякую работу брал.	муж дом всякий работа брать
А я на машинке стучала,	а машинка стучать
прямо все пальцы отбила.	прямо палец отбить
- Ой!	ой
- Ну, теперь отдохнете.	ну отдохнуть
Это я по себе знаю.	это знать
- Бывает, поссоришься,	бывать поссориться
разругаешься, разнервничаешься...	разругаться разнервничаться
Понимаете.	понимать
Пойдешь в лес,	пойти лес
прогуляешься,	прогуляться
а потом схватишь лопату	схватить лопата
и на участок.	участок
И всё как рукой	и весь рука
сняло.	снять
О!	о
Подруга художника.	подруга художник
Они дачу	они дача
в конце вашей улицы	конец ваш улица
снимают.	снимать
Походка-то какая.	походкатый какой
- Нет,	нет
прическа мне у ней не нравится.	причёска нравиться
- Нет, почему?	нет почему
- Мило. - Чего мило?	мило что мило
Волос много,	волос много
а лица нету.	лицо нету
Здравствуйте!	здравствовать
- Квас!	квас
- Квас привезли!	квас привезти
- Гражданин?	гражданин
- Ой, благодарю вас.	ой благодарить вы
- Ну, ну, ну.	ну ну ну
- Прошу вас.	просить вы
- Благодарю вас.	благодарить вы
Что вы де...	что де
Оставьте меня.	оставить я
Оставьте меня в покое. - Загляните на одну минуточку.	оставить покой заглянуть один минуточка
- Меня жена ждет. - Одну минуточку. - Я совершенно не могу, нет времени...	я жена ждать один минуточка я совершенно мочь время
- Одну минутку...	один минутка
- Проходите, проходите.	проходить проходить
- Спасибо!	спасибо
Чай с самовара -	чаять самовар
совершенно другой чай.	совершенно чаять
- А я... - Я говорю, чай из самовара -	а я я говорить чаять самовар
совершенно другой чай.	совершенно чаять
Чай из самовара совершенно другой. - Да я не понимаю...	чаять самовар совершенно другой да понимать
- Пожалуйста, можно вас попросить сделать	пожалуйста попросить сделать
музыку потише, а то мы ничего не слышим.	музыка тихий слышимый
- Вы не бойтесь, они не могут укусить. - Да нет, музыку потише.	вы бояться мочь укусить да нет музыка тихий
- Простите, вы поймите, пчелы	простить понять пчела
не кусаются, они не могут... - Ничего не слышно...	кусаться мочь ничто слышный
- Чай из самовара - совсем другой чай.	чаять самовар чаять
Чай из самовара...	чаять самовар
- Она говорит, чай из самовара совсем другой чай.	она говорить чаять самовар чаять
- Пахнет дымом.	пахнуть дым
- Пахнет дымом. - Дымом пахнет.	пахнуть дым дым пахнуть
- Совершенно замечательно.	совершенно замечательный
- Одуванчик лекарственный.	одуванчик лекарственный
Или обыкновенный.	или обыкновенный
Tar?xacum officin?le.	tarxacum officinle
Иначе,	иначе
попова плешь или подонница.	попов плешь подонница
В научной медицине используются	в научный медицина использоваться
только корни одуванчика	корень одуванчик
и то лишь при возбуждении аппетита.	лишь возбуждение аппетит
Надо же, а.	надо же а
В народной же медицине используются и корни, и листья	в народный медицина использоваться корень лист
при катаракте, при лечении легочных болезней,	катаракт лечение лёгочный болезнь
при болезнях печени.	болезнь печень
Печень не болит?	печень болеть
У меня есть отличная настойка.	у отличный настойка
Из одуванчика.	из одуванчик
