cleaned_text	lemm_text
одного маленького гена, но это…	маленький ген это …
Скучаю по тебе и Х. С любовью, Дж.	скучать х любовь дж
Ты в порядке?	порядок
Да.	
Мазь для носа, что ты дала в самолете,	мазь нос давать самолет
такое ощущение, что в мой нос забрался слизень и нагадил.	ощущение нос забираться слизень нагадить
Ты отблагодаришь меня, когда не заболеешь.	отблагодарить заболевать
Как я отблагодарю тебя	отблагодарить
за то, что не случится?	случаться
Было бы здорово услышать,	здорово услышать
как ты кого-то благодаришь.	кто-то благодарить
Два месяца за границей с крупными инвесторами,	месяц граница крупный инвестор
и нам нечем похвастать.	нечего похвастать
Да, ну, стало сложно объяснить работу,	становиться сложный объяснять работа
когда мы добрались к северу от Осло.	добираться север осло
Ну, смысл был в том, что ты подружилась	смысл подружиться
- с настоящими европейскими игроками. - Игроками?	настоящий европейский игрок игрок
Боже, я не смогла бы объяснить, чем занимаются эти люди,	боже смочь объяснять заниматься человек
кроме того, что ужинают в дорогих ресторанах	кроме ужинать дорогой ресторан
и хвастаются знакомствами.	хвастаться знакомство
Сколько вообще стоила эта поездка?	сколько вообще стоить поездка
Ну, это мои деньги, и я трачу их,	это деньги тратить
чтобы помочь тебе воплотить твои идеи в жизнь.	помогать воплощать твой идея жизнь
- Ладно. - Но если ты будешь просто сидеть	ладно просто сидеть
- и принижать всех, как сардонический мудак… - Прости.	принижать сардонический мудак … прощать
Я выступила недостаточно хорошо для тебя.	выступать недостаточно
Я не твоя обезьянка.	твой обезьянка
Слушай, я знаю, что ты все еще переживаешь	слушать знать весь переживать
из-за личных проблем.	из-за личный проблема
Или… возможно…	… возможно …
ты просто теряешь интерес,	просто терять интерес
потому что теперь та часть процесса,	часть процесс
где нужно действительно работать,	нужно действительно работать
а не только нести чушь о возможностях.	нести чушь возможность
Вы можете остановить?	мочь останавливать
Кэмерон.	кэмерон
Кэмерон!	кэмерон
Как ты вообще добралась до дома?	вообще добираться дом
Просто прошла милю до МакДональдса,	просто проходить миля макдональдс
воспользовалась их телефоном, чтобы вызвать такси, такси стоило $200.	воспользоваться телефон вызывать такси такси стоить 200
Надо было позвонить мне домой.	позвонить домой
Люблю МакДональдс… их пирожки с яблоками.	любить макдональдс … пирожок яблоко
Вкуснятина.	вкуснятина
Вы с тех пор разговаривали?	пора разговаривать
- Две недели. Только радиомолчание. - О, нет.	неделя радиомолчание
- Так что, думаю, с этим покончено. - Да.	думать это покончить
Знаешь, помню одну штуку в CompSci...	знать помнить штука compsci ...
рекурсия.	рекурсия
Конкретная функция	конкретный функция
постоянно вызывает саму себя внутри программы.	постоянно вызывать внутри программа
Поэтому, чтобы решить большую задачу,	поэтому решать больший задача
она снова и снова использует одну и ту же маленькую задачу	снова снова использовать маленький задача
в качестве решения все более сложных проблем.	качество решение сложный проблема
И вот так, друг мой, работает моя программа.	друг работать программа
Кстати, сочувствую по поводу Джо.	кстати сочувствовать повод джо
Спасибо.	спасибо
Вообще-то, у меня еще осталось	вообще-то оставаться
кое-что из его вещей, которые надо вернуть,	кое-что вещь который вернуть
