cleaned_text	lemm_text
Фиби, мне нужны те серьги. Мы уходим, когда кончится передача.	фиби нужный тот серьга мы уходить кончиться передача
Но, ведь я тебе их уже отдала.	но ты отдать
Нет, не отдала.	нет отдать
Но ведь я тебе их ещё не отдала. Вот, что я хотела сказать.	но ты ещё отдать вот хотеть сказать
Где вторая серьга?	где два серьга
Её тут нет, Фибс. её тут нет.	её нет фибс её нет
Я ходила к Джоуи и Чендлеру вчера.	я ходить джоуя чендлера вчера
Тщательно проверь ящик драгоценностей у Чендлера.	тщательно проверить ящик драгоценность чендлера
У Чендлера есть ящик драгоценностей?	у чендлера ящик драгоценность
У нас 10 минут. Хочешь, чтобы я сейчас начала рассказывать о нём?	у 10 минута хотеть начало рассказывать он
Привет, Фибс.	привет фибс
Ну и как...	ну как
...тебе показалась эта вегетарианская пицца?	ты показаться этот вегетарианский пицца
У тебя с этими овощами всё совсем...	у этот овощ весь совсем
...по-серьёзному, так?	посерьёзный так
Ты чё такой странный?	ты чё странный
Тебе нравится?	ты нравиться
"Нет. Тогда было бы: ""Ты чё такой милашка?"""	нет тогда бы ты чё милашка
Ладно. Я тренирую флиртование.	ладный я тренировать флиртование
А-а! А я не поняла даже.	аа а понять даже
"Так, Моника, тебе нравится ""Закон и порядок""?"	так моника ты нравиться закон порядок
Да, он хорош.	да хороший
"Я много о тебе узнал сегодня. Тебе нравится ""Закон и порядок""..."	я ты узнать сегодня ты нравиться закон порядок
...и ты флиртуешь с каждым парнем в ближайших трёх штатах.	и флиртовать каждый парень ближний три штат
Ладно, давай я всё объясню.	ладный давать весь объяснить
Это нормально, если флиртуешь ты, но только не я?	это нормальный флиртовать ты я
Я рад, что мы это выяснили.	я рад это выяснить
Я извиняюсь, но некоторые вещи разные для мужчин и женщин.	я извиняться некоторый вещий разный мужчина женщина
Просвети меня насчёт мужчин и женщин.	просветить насчёт мужчина женщина
Я тебя и так уже дрессировал довольно много, но ладно уж.	я дрессировать довольно много ладный уж
"когда ты флиртуешь с парнем, ты думаешь: ""Ничего особенного""."	флиртовать парень думать ничто особенный
"А он думает: ""Наконец-то! Кто-то хочет со мной переспать."""	а думать наконецтый ктоть хотеть я переспать
- Ну нет! - Это правда.	ну нет это правда
- Но это-же унизительно. - Опять правда.	но этоже унизительно опять правда
- Это так у всех парней? - У всех парней, кто не спит.	это парный у парный спать
Мы идём спать.	мы идти спать
А все парни на другом конце мира встают, и ведут себя точно так же.	а парень друг конец мир вставать вести точно же
Снова реклама, а я ей ещё не сказал.	снова реклама ещё сказать
Джоуи, это последняя реклама.	джоуя это последний реклама
- У тебя осталось 10 минут. - Я знаю!	у остаться 10 минута я знать
Что же мне делать?	что делать
Не вздумай убегать, и оставлять её здесь.	не вздумать убегать оставлять её здесь
Да, хорошо.	да хорошо
Джоуи скоро вернётся. Вернётся?	джоуя скоро вернуться вернуться
А пока, поговорим о вас.	а пока поговорить вы
Так вы старая и маленькая.	так старый маленький
Ну, ты нашла?	ну найти
Серьгу? Нет. Но я нашла свои солнечные очки.	серьга нет но найти свой солнечный очки
Я их искала с прошлого лета.	я искать прошлое лето
Это мои очки. Ты их у меня одалживала.	это мой очки ты одалживать
Ладно. Успокойся. Вот, держи.	ладный успокоиться вот держать
- Что же нам делать? - Я не знаю. Я не знаю!	что мы делать я знать я знать
Ну чтож, хорошо, придётся сказать Монике и всё.	ну чтожий хорошо прийтись сказать моника весь
О, боже! Она меня убьёт.	о бог она убить
Я могла бы сказать ей, что это моя вина.	я мочь сказать она это вино
О, это было бы здорово.	о это здорово
Мон, можно с тобой поговорить?	мона ты поговорить
Да. Что такое?	да что такой
Я потеряла одну из твоих серёжек.	я потерять один твой серёжка
Я извиняюсь. Я очень-очень извиняюсь.	я извиняться я оченьочень извиняться
Ладно, что уж тут поделаешь? Потеряла так потеряла.	ладный поделать потерять потерять
Я заменю её. Я обещаю. Мне так противно.	я заменить её я обещать я противно
Всё нормально. Ты же это не нарочно.	весь нормальный ты это нарочно
Да что с тобой. Иди сюда.	да ты идти сюда
- Тебе лучше? - Да. Ты самая лучшая.	ты хороший да ты самый хороший
Ладно, погодите минутку.	ладный погодить минутка
Я так не могу.	я мочь
Послушай, родная, это не Фиби виновата.	послушать родной это фиби виноватый
Она одолжила мне серёжки.	она одолжить серёжка
Я её потеряла, извини, дорогая. Я тоже паршиво себя чувствую.	я её потерять извинить дорогой я паршиво чувствовать
Вот именно по-этому я тебе ничего не даю!	вот именно поэтому ты давать
Сначала мои драгоценности. Если не они, то мой свитерок.	сначала мой драгоценность если они свитерок
А если и не свитерок, то тогда солнечные очки.	а свитерок солнечный очки
Твои солнечные очки?	твой солнечный очки
А, точно.	а точно
- Пицца. - Моя, моя, моя!	пицца мой мой мой
Ладно, сейчас увидите.	ладный увидеть
Приготовьтесь к флирту класса люкс.	приготовиться флирт класс люкс
Ладно, погоди... Давай.	ладный погодить давать
Если тебе действительно нравится эта девушка, то думаю, что флирт, не тот путь...	если ты действительно нравиться этот девушка думать флирт путь
Увидишь.	увидеть
Как её имя?	как её имя
Кейтлин!	кейтлина
О, так мы поесть не сможем.	о поесть смочь
С вас 12.50.	с 1250
А вы делаете пиццы в печке, которая топится дровами?	а делать пицца печка который топиться дрова
Нет, вобще-то, по-моему она на газу.	нет вобщеть помоему газа
Газ? Ух ты!	газ ух ты
Поразительно.	поразительно
Если все Геллеры так флиртуют, тогда у нас проблем нет.	если геллер флиртовать проблема нет
А знаешь, чем пахнет газ?	а знаешь пахнуть газ
Запах туда добавляют.	запах туда добавлять
Что?	что
Газ сам-то без запаха.	газ самтый запах
А запах добавляют, чтобы можно было почувствовать утечку.	а запах добавлять почувствовать утечка
Ну, и ладно.	ну ладный
А вот другие газы пахнут.	а другой газа пахнуть
Во имя человеколюбия!	в имя человеколюбие
Метан пахнет...	метан пахнуть
Знаешь что? Вообще-то мне пора идти.	знаешь что вообщеть пора идти
- Но я тебе ещё не заплатил. - Это ничего.	но ты ещё заплатить это ничто
Вы, ребята, столько заказали, что эта будет за мой счёт.	вы ребята столько заказать этот счёт
Я что, с ней о газе говорил?	я что газа говорить
Больше, чем о чём-то другом.	большой чёмтый друг
А мне это было интересно.	а это интересно
Сожалею.	сожалеть
Не волнуйтесь за это.	не волноваться это
Через 9 лет у нас с ней всё произойдёт!	через 9 год весь произойти
Так, ну чтож, я пойду унесу эти коробки.	так чтожий пойти унести коробка
А к чему ещё добавляют запах?	а что ещё добавлять запах
Кейтлин! Кейтлин!	кейтлина кейтлина
Привет, я Рейчел.	привет рейчело
Из тех, что пиццы заказывали.	из тот пицца заказывать
А что, что-то не так?	а что чтоть так
Нет, всё отлично. Прекрасная пицца.	нет весь отлично прекрасный пицца
Но вот, один из моих друзей - Росс слишком нервничает, когда флиртует.	но вот мой друг росс слишком нервничать флиртовать
О, боже мой!	о бог мой
Так он так флиртовал?	так флиртовать
Понимаю, понимаю.	понимать понимать
Хочу сказать тебе, что как только закончится та часть,..	хотеть сказать ты закончиться тот часть
...где просто хочется сдохнуть от него,..	где просто хотеться сдохнуть он
...он на самом деле хороший парень.	он самый дело хороший парень
Парень с газом?	парень газ
Говорю тебе, он на самом деле милый и очень весёлый...	говорить ты самый дело милый очень весёлый
...и сердце у него доброе.	и сердце добрый
- И кроме того, думаю, ты ему нравишься. - Правда?	и кроме тот думать нравиться правда
Ну, нас 7 человек и мы взяли 10 пицц. Как тебе кажется?	ну 7 человек взять 10 пицца как ты кажется
Я думала, что там-же был Джоуи.	я думать тамжа джоуя
Эй, Росс.	эй росс
Я встретила Кейтлин в коридоре.	я встретить кейтлина коридор
Похоже, с флиртом у тебя лучше, чем я думала.	похоже флирт хороший думать
Про что это ты?	про это ты
Я не поняла с чего это, но она хотела, чтобы я дала тебе её номер.	я понять это хотеть дать ты её номер
И она тебе его просто дала?	и ты просто дать
Рейч, спасибо. Но мне не нужно, чтобы ты делала мне одолжения.	рейч спасибо но нужно делать одолжение
Я и не делаю. Она думает, что ты милашка.	я делать она думать милашка
Ну, это уже правдоподобно.	ну это правдоподобно
Эй, передача ещё идёт?	эй передача ещё идти
Почти закончилась.	почти закончиться
Эй, Нонни.	эй нонний
Это не Папа?	это папа
А я-то чего гляжу?	а ято глядеть
О, а вот и я! Вот мой момент.	о я вот момент
Так, всем отойти!	так весь отойти
У меня пистолет!	у пистолет
И я готов его применить.	и готовый применить
Вот так, Нонни.	вот так нонний
Мог ты хотя-бы рубашку переодеть?	мочь хотяб рубашка переодеть
А теперь, я хочу портфель, со 100 000$... кыш, ты...	а теперь хотеть портфель 100 000 кыш ты
... со 100 000$ в мелких купюрах.	100 000 мелкий купюра
А если я их не получу... Кыш!	а получить кыш
А если я их не получу...	а получить
... Я пристрелю эту утку!	я пристрелить утка
О, нет!	о нет
Я выхожу!	я выходить
Она должна в это поверить?	она должный это поверить
Джоуи! Браво, беллисимо!	джоуя бравый беллисимый
Центр управления Майору Тому.	центр управление майор тот
Начинаю отсчёт.	начинать отсчёт
Двигатели...	двигатель
...пуск!	пуск
Это фрагменты передачи следующей недели. Следующей недели.	это фрагмент передача следующий неделя следующий неделя
Я её обязательно посмотрю.	я её обязательно посмотреть
Эти выглядят также?	этот выглядеть также
Точно.	точно
Но ведь они разные.	но разный
Тогда нет.	тогда нет
- Эй, ты готова? - Да.	эй готовый да
Ты выглядишь прекрасно. Я счастливейший в мире из мужчин.	ты выглядеть прекрасно я счастливый мир мужчина
Скоро станешь ещё счастливее.	скоро стать ещё счастливый
- Дай посмотреть на серёжки. - Да, серёжки.	дать посмотреть серёжка да серёжка
Они отлично смотрятся.	они отлично смотреться
Разве у твоего парня не самый лучший вкус?	разве твой парень самый хороший вкус
У моего парня и правда отличный вкус.	у мой парень правда отличный вкус
Спасибо, что выбрал серёжки.	спасибо выбрать серёжка
