cleaned_text	lemm_text
"что я нашел. А он сам уже решит""."	найти а решить
-Слушай, Федя, у меня башка раскалывается. Четче формулируй.	слушай федя башка раскалываться чёткий формулировать
-В птицу из мелкашки стреляли. -И что?	в птица мелкашка стрелять и что
-У тебя собака есть, говорит. Тебе это надо. Делай выводы!	у собака есть говорить ты это надо делать вывод
-Кто говорит?	кто говорить
-Моя твоя не понимаешь!	мой твой понимать
-Главное, всем все равно.	главный весь равно
-Как ты? -Хорошо, все нормально.	как ты хорошо нормальный
-Здоров. Что за праздник? -Выходной у нас.	здоровый что праздник выходной мы
-А у них? -Такса хоронят.	а они такса хоронить
-Что она говорит? -Она говорит, грех так по собакам	что говорить она говорить грех собака
горевать. Так только по людям надо горевать.	горевать так человек горевать
-Она у тебя злая стала, как Мавлюда. Кстати, не звонит? Как она там?	она злой стать мавлюда кстати звонить как там
-Она... -Нет, не звонит, не звонит.	она нет звонить звонить
А зачем ей звонить? -Ну как, подруга все-таки.	а звонить ну как подруга всетаки
-Ну...	ну
Выходной у нас. Пора нам.	выходной мы пора мы
Уважаемый! Уважаемый! Мусор на помойку надо носить!	уважаемый уважаемый мусор помойка носить
Дворника ругать будут за это! -Слышь... Какой мусор, черномазый?!	дворник ругать быть это слышь какой мусор черномазый
-Эй-эй, ты что творишь? -Не лезь! Ты что лезешь?!	эйэй творить не лезть ты лезть
А-а! Уберите псину! Уйди! -Пиночет! Фу!	аа убрать псина уйти пиночет фу
ВСЕ КРИЧАТ НАПЕРЕБОЙ	весь кричать наперебой
-Простите, я не могу просто так арестовать человека.	простить мочь просто арестовать человек
-Как - так? -Он садист!	как так он садист
КРИЧАТ НАПЕРЕБОЙ	кричать наперебой
-Почему вы его отпустили? -Его никто не отпускал.	почему отпустить он никто отпускать
Его отвезли в травмпункт. -Какой еще травмпункт?	он отвезти травмпункт какой травмпункт
-...обещал убить мою собаку - и убил! -Хорошо, вы проходите, а остальные -	обещать убить мой собака убить хорошо проходить остальной
покиньте помещение! Иначе я вас оштрафую! За нарушение общественного	покинуть помещение иначе оштрафовать за нарушение общественный
порядка! Проходите. -Ну вот, как всегда.	порядок проходить ну вот всегда
-Пока, ребята.	пока ребята
-А-а! Боль - пипец! -Судя по укусу собаки,	аа боль пипец судить укус собака
она вас только предупредила. -Да мне по барабану!	предупредить да барабан
Мочить этих собак надо! Ох... -Да у вас два синяка.	мочить этот собака надо ох да синяк
-Если бы не куртка - руку перекусила бы на хрен!	если куртка рука перекусить хрен
-Если бы немецкая овчарка хотела откусить руку,	если немецкий овчарка хотеть откусить рука
куртка ей не помешала бы. У меня самого служебная собака.	куртка помешать бы у самый служебный собака
-Приехали.	приехать
-Нам сюда.	мы сюда
-А этот-то что здесь делает?	а этотто делать
-У меня был конфликт с этим человеком. Он угрожал убить мою	у конфликт это человек он угрожать убить мой
собаку. -Да эта су...	собака да этот су
сумасшедшая долбанула мне по капоту! -Т-ш-ш, Виталий Михайлович.	сумасшедший долбануть капот тшш виталий михайло
-И промяла! -Так он был пьяный!	и промять так пьяный
-Чо?! -Чуть собаку не задавил,	чо чуть собака задавить
и я ударила в сердцах. -Когда это было?	ударить сердце когда это быть
-В августе. -Товарищ старший лейтенант,	в август товарищ старший лейтенант
я, как адвокат господина Непейпиво, могу заметить, что гражданка нанесла	я адвокат господин непейпиво мочь заметить гражданка нанести
материальный ущерб моему клиенту. -Материальный!	материальный ущерб мой клиент материальный
-Он вынужден был ремонтировать машину.	он вынужденный ремонтировать машина
-Значит, у него был повод убить собаку.	значит повод убить собака
-Я хотел бы перевести разговор в другое русло.	я хотеть перевести разговор другой русло
Почему стала возможной сама ситуация? Собака гуляла без поводка	почему стать возможный сам ситуация собака гулять поводок
не в специально отведенном месте, а во дворе. А за это предусмотрено	специально отвести место двор а это предусмотреть
административное взыскание - штраф 500 рублей.	административный взыскание штраф 500 рубль
-Гражданин Непейпиво задержан по обвинению в драке.	гражданин непейпиво задержать обвинение драка
-Секундочку! На моего клиента было совершено нападение.	секундочка на мой клиент совершить нападение
Вот справка из травмпункта, на основании которой мы бы хотели	вот справка травмпункт основание который хотеть
написать заявление на владельца собаки -	написать заявление владелец собака
Каленого Владимира Сергеевича. -А-а...	калёный владимир сергей аа
ПОСКУЛИВАЕТ	поскуливать
-Пиночет, ты чего?	пиночет что
ИЗ-ЗА ДВЕРИ: Женщина, я кому говорю?! Еще раз увижу - полицию вызову!	изз дверь женщина кома говорить ещё увидеть полиция вызов
Представляешь, в подъезд захожу - какая-то чучмечка стоит у двери	представлять подъезд заходить какаять чучмечко стоить дверь
и подслушивает. Привет. -Заходи.	подслушивать привет заходить
-Ты знаешь, мне кажется, надо Вите позвонить. А то, не дай бог, своим	ты знаешь кажется вит позвонить а то дать бог свой
узкоглазым скажет - и нас ограбят. -Какому Вите?	узкоглазый сказать ограбить какой вит
-Ну, этот твой друг из полиции. -А что за женщина?	ну твой друг полиция а женщина
-Да откуда я знаю? У нее все лицо платком было замотано.	да откуда знать у лицо платок замотать
Скучал?	скучать
-А вещи куда? -Да оставь, я сама разберу.	а вещий куда да оставить сам разобрать
Теперь все выкидывать придется...	теперь выкидывать прийтись
Володенька! Вареники в морозилку надо лОжить!	володенёк вареник морозилка ложить
А-а-а!	ааа
Володь, это что?..	володя это что
-Это вещдок.	это вещдок
-Ну куда, Володь, ты чего делаешь? Это же зараза!	ну куда володя делать это зараза
-Не трогай.	не трогать
ЗВОНОК В ДВЕРЬ	звонок в дверь
О! Грабители пришли! -Ты что говоришь? Это я! Здрасте.	о грабитель прислать ты говорить это я здравствовать
-Здрасте.	здравствовать
-Ака Каленый, у этого злого Непейпиво есть ружье!	ака калёный злой непейпиво ружьё
-На мировую мы не пойдем. Пусть платят штраф - будет им урок.	на мировой пойти пусть платить штраф урок
-Ну я понял, что ты крутой. Только на фига тебе это надо?	ну понять крутой только фига ты это надо
Денег у меня нету. -Я буду это дело вести	деньга нету я быть это дело вести
на общественный началах. -Что, просто так, что ли?	общественный начало что просто так ли
Не за бабло подписался? -По-другому наших людей не воспитать.	не бабнуть подписаться подругий наш человек воспитать
Не только наших - вообще. Человек - животное.	не наш вообще человек животный
Его надо дрессировать. Основа дрессуры - поощрение и наказание.	он дрессировать основа дрессура поощрение наказание
В Европе люди соблюдают законы только потому, что знают,	в европа человек соблюдать закон потому знать
что наказание неотвратимо, что, если не убрал ты за своей собакой дерьмо,	наказание неотвратимый что убрать свой собака дерьмо
соседи сразу позвонят в полицию, и тебя оштрафуют.	сосед сразу позвонить полиция оштрафовать
А если твоя собака покусала кого-нибудь, ее усыпят	а твой собака покусать когонибудь усыпать
без всяких разговоров.	всякий разговор
Это мой город, я здесь родился, я здесь живу, работаю, плачу налоги.	это город родиться жить работать плач налог
Я хочу, чтобы здесь законы соблюдались.	я хотеть закон соблюдаться
Садись.	садиться
-Эй... Ну ты жесткий чувак!	эй ну жёсткий чувак
-Этот Непейпиво всегда мусор бросает здесь. Вот здесь! Ну, ты сам видел.	этот непейпиво мусор бросать здесь вот здесь ну видеть
-Угу. -Мусор рассыпается, коробка выпадает.	угу мусор рассыпаться коробка выпадать
"-И на ней было написано ""патроны""? -Не знаю. Но он говорил..."	и написать патрон не знать но говорить
-Кто - он? Дворник из пятого дома? -Да нет! Он говорил,	кто он дворник пять дом да нет он говорить
коробка от патрона был. -Где?	коробка патрон быть где
-Значит, у него есть ружье.	значит ружьё
-Ну, пойдем. -Куда?	ну пойти куда
-Куда! К дворнику из пятого дома. Спросим у него, как и что видел...	куда к дворник пять дом спросить он видеть
-Нет, нельзя туда! -Почему?	нет туда почему
-У него все болеют. Муж, дети - все. -Подожди... У нее - это она.	у болеть муж ребёнок весь подождать у это она
-Да нет! Это он!	да нет это он
-Я не могу произвести обыск в квартире на основании показаний	я мочь произвести обыск квартира основание показание
дворника.	дворник
-Леша... Тут либо пан, либо пропал.	лёша тут либо пан либо пропасть
Ну смотри, у тебя есть голубь, в котором пуля. Его нашли во дворе	ну смотреть голубь который пуля он найти двор
дома, в котором живет Непейпиво. У тебя есть полное право обыскать	дом который жить непейпиво у полный право обыскать
любую квартиру в этом доме на предмет наличия оружия.	любой квартира дом предмет наличие оружие
-Без ордера не могу. Меня четвертуют.	без ордер мочь я четвертовать
-У тебя ничего не сложится в профессии. Ты не умеешь рисковать.	у сложиться профессия ты уметь рисковать
-А? -Ага.	а ага
-Ребят, это не ваш Непейпиво? Похоже, он черный копатель.	ребята это ваш непейпиво похоже чёрный копатель
-И что у него в руках?	и рука
-Вот она, красавица.	вот она красавица
-Ну чего? -Ака Каленый...	ну что ака калёный
Один был вот здесь. Еще вон, у синего лежал, здесь.	один здесь ещё вон синий лежалый здесь
-Так...	так
А окна Непейпиво у нас там, да? -Ага.	а окно непейпиво там да ага
-Это тебе твой секретный дворник из пятого дома все рассказал?	это ты твой секретный дворник пять дом рассказать
Узбек? -Да нет.	узбек да нет
-Хочешь сказать, русский? -Таджик.	хотеть сказать русский таджик
-Федь, что ты темнишь? Был бы таджик - вы бы между собой	федя темнить быть таджик себя
по-своему балакали. Вон вы с Фаридой все время что-то буровите.	посвоему балакать вон фарида время чтоть буровить
-Ака Каленый, не обращай внимания. Она всегда злая, особенно когда	ака калёный обращать внимание она злой особенно
беременная. -Федь, ты с темы не спрыгивай.	беременный федя тема спрыгивать
Этот твой дворник из пятого дома - узбек, потому что вы с узбеками	этот твой дворник пять дом узбек узбек
друг друга не понимаете, между собой по-русски говорите.	друг друг понимать себя порусски говорить
"-Да нет... -""Да нет""! Ладно."	да нет да нет ладный
Спроси у него, когда он этих голубей нашел.	спросить он этот голубеть найти
-Ага.	ага
-Пиночет!	пиночет
Пиночет!	пиночет
СВИСТИТ Пиночет!	свистеть пиночет
Иди сюда. Ты где ходишь?	идти сюда ты ходить
Так, ты чего?	так что
Ты с каких пор на улице жрать стал?	ты какой пора улица жрать стать
Что рожа довольная такая?	что рожа довольный такой
-Ну куда? Я полы только помыла, Володь. Иди сюда.	ну куда я полый помыть володя идти сюда
На тапочки. Иди сюда.	на тапочки идти сюда
Дай лапу. РЫЧИТ	дать лапа рычать
Господи... Ну он кого-нибудь примет, кроме тебя? Когда он своих	господь ну когонибудь принять кроме ты когда свой
начнёт признавать?	начать признавать
ЗАГАДОЧНАЯ МУЗЫКА	загадочный музыка
Ты чего?	ты что
-Я сейчас. Пошли гулять. Быстрее. Пошли.	я сейчас послать гулять быстрый послать
-Только недолго, а то у меня вареники слипнутся.	только недолго вареник слипнуться
-Пиночет, давай.	пиночет давать
Давай, гуляй.	давать гулять
-О, опять пришёл.	о прийти
Иди отсюда, нет у меня времени с тобой играться.	идти отсюда время ты играться
Вон, пусть твоя новая хозяйка с тобой играется.	вон пусть твой новый хозяйка ты играться
Э, отдай сюда. Дай сюда.	э отдать сюда дать сюда
На. Иди отсюда!	на идти отсюда
ЗВОНОК В ДВЕРЬ	звонок в дверь
-Володя, ты куда в обуви-то? Я же полы мыла. Или не видно?	володя обувить я полый мыло или видно
-Иди сюда.	идти сюда
Сядь.	сесть
Ну как у тебя? -Нормально, полы мою.	ну ты нормальный полый мой
-Ты чего? Володь, у меня же руки грязные.	ты что володя рука грязный
-Тихо, тихо.	тихо тихо
А ну, пойдём.	а ну пойти
ЗВОНОК ТЕЛЕФОНА	звонок телефон
-Да. -Владимир Сергеевич, вы будете	да владимир сергей быть
ругаться: Непейпиво пришлось отпустить.	ругаться непейпиво прийтись отпустить
Адвокат его, сейчас...	адвокат он сейчас
Кораблёв. В общем, дело открыли, но...	кораблёва в общий дело открыть но
Угу.	угу
-Ну что, спасибо. -Не за что. И ничего не бойтесь.	ну что спасибо не что и бояться
Мы с вами пойдём до конца.	мы вы пойти конец
-Расставила здесь, ни пройти ни проехать.	расставить здесь пройти проехать
-Э! -Пиночет!	э пиночет
-Иди отсюда.	идти отсюда
-Ты что здесь встала?	ты встать
-Нельзя. Сам покалечишься и других покалечишь.	нельзя сам покалечиться другой покалечить
-Слышь ты, королева помойки, приехала в Москву метлой махать?	слышь ты королева помойка приехать москва метла махать
Ну и махай. Меня учить не надо. Поняла?	ну махать я учить надо понять
Давай, вали отсюда. -Не отойду.	давать валить отсюда не отойти
-Ну смотри.	ну смотреть
Ну что, Гюльчатай, хреновая из тебя партизанка.	ну что гюльчатай хреновый партизанка
Ты что делаешь?! -Ключи отдам, когда протрезвеешь.	ты делать ключ отдать протрезветь
Больной. -Ах ты, чёртова баба,	больной ах ты чёртов баба
да я тебе сейчас!	ты сейчас
А ну, стоять! -Вов!	а ну стоять вова
Ты как насчёт пива?	ты насчёт пиво
-Коля... ты настоящий мужик!	коля настоящий мужик
Давай.	давать
РЫЧИТ	рычать
-Уйди!	уйти
ЛАЕТ	лаять
-Владимир Сергеевич?	владимир сергей
ЛАЕТ	лаять
-О господи! Владимир Сергеевич...	о господь владимир сергей
Мужчина!..	мужчина
Мужчина, помогите! -Да таких собак усыплять надо.	мужчина помочь да такой собака усыплять надо
-Да вас самого надо усыплять. Владимир... А! Господи!	да самый усыплять владимир а господь
ГОВОРЯТ НА СВОЕМ ЯЗЫКЕ	говорят на свой язык
-Мавлюда, там ваша помощь нужна.	мавлюда ваш помощь нужный
ЛАЕТ -Тихо, тихо, Пиночет. Спокойно.	лаять тихо тихо пиночет спокойно
Володя... ЛАЕТ	володя лаять
Что ж делать-то? Не подходите, он укусит.	что делатьто не подходить укусить
-Он меня знает.	он знать
Нормально. Тепло одет - может долго спать.	нормальный тепло одетый долго спать
-Тихо-тихо.	тихотихо
Аккуратно.	аккуратно
Аккуратно, аккуратно.	аккуратно аккуратно
Тихо. Тише.	тихо тиша
Так... Аккуратненько.	так аккуратненький
Ах, Володя, Володя...	ах володя володя
-Вы его не переворачивайте на спину, не дай бог захлебнётся.	вы переворачивать спин дать бог захлебнуться
На боку пусть лежит.	на бок пусть лежать
Нельзя ему пить совсем. -Он три месяца не пил,	нельзя пить совсем он месяц пить
а тут как с цепи сорвался. Ничего, увезу я его отсюда.	цепь сорваться ничто увезти отсюда
У нас там заповедник, речка, рыбалка.	у заповедник речка рыбалка
А тут чего? Пенсионер ненужный.	а что пенсионер ненужный
Квартиру сдадим и будем там жить припеваючи.	квартира сдать быть жить припеваючи
Аккуратно, Володенька. Аккуратно.	аккуратно володенёк аккуратно
-Ладно. -Спасибо.	ладный спасибо
-Пойду я.	пойти я
-До свидания.	до свидание
-Скорая приехала.	скорый приехать
-Сюда, вот женщина. -Ребята, у нас сердечный приступ.	сюда женщина ребята сердечный приступ
Везём в Пятнашку в кардиологию. Я звонила, там ждут.	везти пятнашка кардиология я звонить ждать
-Там Манана работает, её сокурсница, грузинка, завотделением.	там манана работать её сокурсница грузинка завотделение
-У неё собаку застрелили. Она одинокая, переживает.	у она собака застрелить она одинокий переживать
Для неё собака как ребёнок. -Мама, где наша собака?	для она собака ребёнок мама наш собака
-Где собака? -Здесь, здесь.	где собака здесь здесь
-Вот собака.	вот собака
-Что это такое делается? Кто-нибудь найдёт на него управу?	что это такой делаться ктонибыть найти управа
-Да нелюди какие-то просто. А милиция ничего не делает.	да нелюди какиеть просто а милиция делать
Они же должны меры принимать какие-то!	они должный мера принимать какиеть
-Да что может эта милиция? Таджиков только наголо стричь.	да этот милиция таджик наголо стричь
-Они этого гада выпустили, Непейпиво. -Да вы что!	они гад выпустить непейпиво да что
-Я сам видел. -Не, ну всё, нас поодиночке	я видеть не весь поодиночке
перестреляют. Нас просто перестреляют поодиночке! Вместо собак.	перестрелять мы просто перестрелять поодиночке вместо собака
-Если мы сами себя не защитим - нас никто не защитит.	если сам защитить никто защитить
-Вот. -Дело говорите.	вот дело говорить
Мы сами этого негодяя поймаем. -Да.	мы сам негодяй поймать да
-Пришли, да?	прислать да
-А код какой?	а код какой
-Кто знает, как в подъезд попасть?	кто знать подъезд попасть
-Эй, мужик! Постой, поговорить надо.	эй мужик постоять поговорить надо
-Тебе чо надо, чувак? -Чего надо?	ты чо надо чувак что надо
-Ах ты, собака!	ах ты собака
Я сейчас тебя порву, зараза! Я тебя убью!	я порвать зараза я убить
-Командир, в меня стреляли! -Труп где? Собака, тушка?	командир стрелять труп где собака тушка
