cleaned_text	lemm_text
Я пойду спать, мам. Спокойной ночи.	я пойти спать мама спокойный ночь
Не забудь, встаём в 6.	не забыть вставать 6
Кружок у озера.	кружок озеро
Спокойной ночи.	спокойный ночь
- Сладких снов. - И тебе, мам.	сладкое сон и ты мама
Как вернёмся в город, позвоню Бетти.	как вернуться город позвонить бетти
Тед. Тед?	тед тед
Говорю, надо позвонить Бетти, когда вернёмся.	говорить позвонить бетти вернуться
Джимбо, такое может сделать только полный отстой.	джимбо такой сделать полный отстой
Так. Главное правило в любви: нельзя, чтобы тебя посылали два раза.	так главный правило любовь нельзя посылать раз
Всё, забудь.	весь забыть
Не хочешь выглядеть дураком —	не хотеть выглядеть дурак —
найди себе новую тёлку.	найти новый тёлка
Да где ж с ней познакомиться.	да познакомиться
Самый простой способ — трахнуть кого-нибудь.	самый простой способ — трахнуть когонибудь
- Извините. - Извините.	извинить извинить
- Ничего страшного. - Привет.	ничто страшный привет
Привет.	привет
- Девчонки, вы местные? - Где здесь Хрустальное озеро?	девчонка местный где хрустальный озеро
- Мы как раз туда едем. - Пешком далековато.	мы туда ехать пешком далековато
- Ничего, дойдём. - Я вернусь — поеду на машине.	ничто дойти я вернуться — поехать машина
- Сара, тебя проводить? - Туда?	сара проводить туда
Нет, спасибо. Встретимся на озере.	нет спасибо встретиться озеро
Как хочешь.	как хотеть
А они ничего.	а ничто
Целых две. Две. Смотри: одна, вторая.	целое два два смотреть один два
- Да, и нас двое. - Именно.	да двое именно
Прыгайте сюда!	прыгать сюда
Нет.	нет
Нет, мы плавки забыли.	нет плавка забыть
Класс!	класс
Здорово!	здорово
Долой стыд!	долой стыд
- Гордон, погоди! - Гордон.	гордон погодить гордон
Гордон, стой! Да погоди ты!	гордон стоять да погодить ты
Гордон!	гордон
- Джимми! - Прыгай, Джимми!	джимми прыгать джимми
- Отвернись. - А чего?	отвернуться а что
- Отвернись! - Триш, давай к нам!	отвернуться триша давать мы
Нет, спасибо. Я неподходяще одета.	нет спасибо я неподходящий одетый
- Триш! - Пока.	триша пока
Приходи на вечеринку!	приходить вечеринка
Идём, Гордон, нам это рано ещё.	идти гордон мы это рано ещё
Вот это тёлки.	вот это тёлка
Томми.	томми
Ну вот.	ну вот
Что ещё?	что ещё
Сможешь починить?	смочь починить
- Отвёртка нужна. - Может, в багажнике есть.	отвёртка нужный мочь багажник есть
Дай ключи.	дать ключ
Спасибо.	спасибо
Томми, быстрей!	томми быстрый
Иди к нам, Сара. Покажи себя.	идти мы сара показать себя
- Нет. - Да чего ты. Раздевайся.	нет да ты раздеваться
Я же сказала «нет».	я сказать «нет»
Тогда я не вынырну, пока ты не разденешься.	тогда вынырнуть пока раздеться
Ради бога.	ради бог
Сэм?	сэм
Сэм!	сэм
Сэм!	сэм
Господи, Сэм!	господь сэм
Боже.	бог
Сэм!	сэм
Сэм! Сэм!	сэм сэм
Сэм! Сэм!	сэм сэм
Саманта, дура!	саманта дура
- Понравилось? - Идиотка!	понравиться идиотка
Заводи, Триш.	заводить триша
Ещё раз!	ещё раз
- Уоу! - Привет. Я Роб Дайер. Прости, что напугал.	уоу привет я роба дайер простить напугать
- Привет. - Привет. Проблемы?	привет привет проблема
- Никаких проблем. - Я про машину.	никакой проблема я машина
А, машина. Да, не заводится.	а машина да заводиться
Садись. Попробуем.	садиться попробовать
Я уже всё посмотрел.	я весь посмотреть
Думаю, что-то с соленоидом.	думать чтоть соленоид
Была бы у нас отвёртка…	быть отвёртка…
Давай, заводи.	давать заводить
Вас подвезти?	вы подвезти
Неужели кто-то живёт так далеко в лесу?	неужели ктоть жить далеко леса
Мы живём. А вы на кого охотитесь?	мы жить а кто охотиться
На медведя. На озере кто-нибудь есть?	на медведь на озеро ктонибыть есть
Что-то вы загнули насчёт медведя.	чтоть загнуть насчёт медведь
А подростки? Есть тут подростки, туристы какие-нибудь?	а подросток есть подросток турист какиенибудь
Есть. Одна компания вчера приехала. Около нас живут.	есть один компания вчера приехать около жить
- Приехали. - Спасибо, что подбросили.	приехать спасибо подбросить
Гордон!	гордон
Может, зайдёте на минутку?	мочь зайти минутка
Нет, спасибо.	нет спасибо
Пойдёмте.	пойти
У меня там в спальне такие поделки.	у спальня такой поделка
Привет, мам!	привет мама
Томми, а кто это с тобой?	томми это ты
Мама, это Роб. Роб, моя мама.	мама это роба роба мама
- Здравствуйте, миссис… - Джарвис.	здравствовать миссис… джарвис
Потрясающе.	потрясающе
Ещё кое-что покажу.	ещё коечто показать
Давай потанцуем?	давать потанцевать
- Под это? - Клёвый музон.	под это клёвыя музона
Отлично.	отлично
Эй, зачем выключил?	эй выключить
Спокуха, Джимбо. Тебе это понравится.	спокуха джимбо ты это понравиться
Поцелуй от медвежонка Тедди.	поцелуй медвежонок тедди
Я хочу ещё выпить.	я хотеть ещё выпить
- Разреши. - Как тебе музыка?	разрешить как ты музыка
Любишь медленные танцы?	любить медленный танец
Кто бы меня научил.	кто научить
Поцелуй меня, дурачок.	поцелуй я дурачок
С радостью.	с радость
