cleaned_text	lemm_text
Виновные понесут наказание во что бы то ни стало.	виновный понести наказание стать
Пользуясь прямой трансляцией спрашиваете одно и то же!	пользоваться прямая трансляция спрашивать один же
У меня куча работы, не так как у вас, бездельников.	у куча работа вы бездельник
Судью все встречают стоя.	судья встречать стоя
А вы задаете ему свои глупые вопросы.	а задавать свой глупый вопрос
Молчите. Не позорьте себя и нас. Пожалуйста, не сердитесь.	молчать не позорить мы пожалуйста сердиться
Я не сержусь. Это просто реакция на глупые вопросы.	я сердиться это просто реакция глупый вопрос
Такой у меня характер.	такой характер
Один вопрос, сэр. - Слушаю.	один вопрос сэр слушать
Вы здесь одни, или кто-то приехал с вами в Калькутту?	вы один ктоть приехать вы калькутта
О, собираете факты для моих врагов? Ну что же..	о собирать факт мой враг ну же
Нет, я приехал не один.	нет приехать один
Вся моя семья собралась здесь для празднования Рождества.	весь семья собраться празднование рождество
Этой информации достаточно?	этот информация достаточно
Кто-то хочет нанять наш корабль для 10-дневного тура.	ктоть хотеть нанять наш корабль 10дневный тур
Я дал им хорошую цену. Позвать их сюда?	я дать хороший цена позвать сюда
Пусть ждут внизу. - Они хотят корабль осмотреть.	пусть ждать внизу они хотеть корабль осмотреть
Все из-за тебя. Все игрушки играешь.	весь изз ты весь игрушка играть
Заказ взяли, да не выполнили. Что теперь прикажешь делать?	заказ взять выполнить что приказать делать
Серьезности тебе не хватает.	серьёзность ты хватать
Это очень важно в нашем бизнесе.	это очень важный наш бизнес
Проходите, проходите.	проходить проходить
Дайте стул. Садитесь пожалуйста.	дать стул садиться пожалуйста
Убери руки!	убрать рука
Вы недовольны, я понимаю. Ну уж так получилось.	вы недовольный понимать ну получиться
Так получилось?	так получиться
Если бы мы работали через посредника, я бы спросил с него.	если работать посредник спросить он
Но вы пришли ко мне напрямую.	но прислать к напрямую
Я этого судью могу пришить за две секунды.	я судья мочь пришить два секунда
Но я не хочу подвергать риску свою группу.	но хотеть подвергать риска группа
"Смотри что натворил твой ""ребенок""."	смотреть натворить твой ребёнок
Ну что такого? Маленький человек, маленькая ошибка.	ну такой маленький человек маленький ошибка
Огромная, большая ошибка. - Мальчишка за дело взялся.	огромный большой ошибка мальчишка дело взяться
Детскими делами и занимался бы - велики угонял, лепешки воровал.	детский дело заниматься велик угонять лепёшка воровать
Нечего лезть в большой бизнес, которым занимаются мужчины.	нечего лезть большой бизнес который заниматься мужчина
Не доросли вы еще до серьезного бизнеса!	не дорасти серьёзный бизнес
Не надо распаляться, зачем нам ссориться?	не распаляться мы ссориться
Давайте вместе подумаем как решить эту проблему.	давать вместе подумать решить проблема
Успокойтесь.	успокоиться
Кто ты такой, что бы меня успокаивать?	кто такой успокаивать
Адаван, оставь его. Оставь!	адаван оставить он оставить
Нечего мне тут свой гонор показывать, мальчишка...	нечего свой гонор показывать мальчишка
Заткнись! Еще слово, и ты живым отсюда не выйдешь	заткнуться ещё слово живой отсюда выйти
Верни ему деньги.	вернуть деньга
Как верни? У меня уже потрачено все.	как вернуть у потратить весь
Пошел вон! Погоди...	пойти вон погодить
Твой заказ не выполнен,	твой заказ выполнить
Но я с самого детства, ни разу не промахивался.	но самый детство раз промахиваться
Если я не попал, значит не пробил еще час смерти для судьи.	если попасть значит пробить час смерть судья
До сегодняшнего дня, это был твой заказ.	до сегодняшний день это твой заказ
Теперь, это моя личная цель.	теперь это личный цель
Я убью его. Обязательно убью.	я убить он обязательно убить
Все, пошел отсюда!	весь пойти отсюда
Если ты хочешь заняться этим сам, пожалуйста!	если хотеть заняться это сам пожалуйста
Но я точно его убью до того, как он закончит это чертово расследование.	но точно убить тот закончить это чертовый расследование
Клянусь!	клясться
Это не все деньги, только задаток.	это деньга задаток
Я дам в 4 раза больше через 10 дней.	я дать 4 раз 10 день
После того, как работа будет сделана. - Он сделает.	после тот работа сделать он сделать
Судью охраняет Национальная Полиция.	судья охранять национальный полиция
Скажи ему, что бы был осторожным.	сказать он осторожный
Мама, как дела? Никто от зарядки не отлынивает?	мама дело никто зарядка отлынивать
Все прекрасно. У меня не поотлынивают.	весь прекрасно у поотлынивать
Все исправно занимаются, кроме одной.	весь исправно заниматься кроме один
Когда тебя не было, она не занималась.	когда быть заниматься
Тара! - Доброе утро, дядя!	тара добрый утро дядя
Почему ленишься? - Я не ленюсь.	почему лениться я лениться
Ты должна подавать пример другим.	ты должный подавать пример другой
Не позволять им расслабляться!	не позволять расслабляться
Занимайся как полагается!	заниматься полагаться
Когда я уеду...	когда уехать
Болван! Не можешь сказать по-человечески!	болван не мочь сказать почеловечески
Почему не сказал, что ты принес молоко?	почему сказать принести молоко
Чего еще? - Зачем вы вытерли мое лицо?	что ещё зачем вытереть мой лицо
Чтобы руки не запачкать. - Понятно.	чтобы рука запачкать понятно
Хорошо получил?	хорошо получить
Она следующая на раздачу.	она следующий раздача
<i>Что же, я готова! Потанцуем? А быть может подеремся?</i>	iчто же готовый потанцевать а подеремсяi
<i>Тара, молодчина! Покажи ей, где зимуют раки!</i>	iтара молодчина показать она зимовать ракиi
Мадам, ваш выход.	мадам ваш выход
<i>Открывайте окна, пусть поет прохладный ветер.</i>	iоткрывать окно пусть петь прохладный ветерi
<i> Эта южная красотка под его мелодию станцует.</i>	i этот южный красотка мелодия станцуетi
<i>Мы сейчас посмотрим,</i>	iмы посмотримi
<i>Кто из нас достойный победитель!</i>	iкто достойный победительi
<i>Нежный одуванчик, или старый куст сухой.</i>	iнежный одуванчик старый куст сухойi
<i>Разве можешь ты со мной тягаться?</i>	iразва мочь я тягатьсяi
<i>Твой язык и нос,</i>	iтвой язык носi
<i>Вот твои печальные поблемы.</i>	iвота твой печальный поблемыi
<i>Вредная душа в бисквитном теле!</i>	iвредный душить бисквитный телеi
<i>Тебе б, бабуля,</i>	iтеб б бабуляi
<i>Язык подрезать,</i>	iязык подрезатьi
<i>Вязанье в ручки</i>	iвязание ручкиi
<i> И тебе бы не было цены.</i>	i и ты ценыi
<i>Тебе лет двести!</i>	iтеб год двестиi
<i>Мне - только двадцать!</i>	iмна двадцатьi
<i>И в этом доме</i>	iи домеi
<i>Красота и сила победит!</i>	iкрасота сила победитi
<i>Женственность прекрасна и чиста.</i>	iженственность прекрасный чистаi
<i>Наступит время - ты поймешь, наверное.</i>	iнаступить время понять наверноеi
<i>Мудрость всегда одержит победу над горячностью</i>	iмудрость одержать победа горячностьюi
<i>Сила веток кроется в корнях.</i>	iсила ветка крыться корняхi
<i>За эти бедра - дерутся парни.</i>	iза бедро драться парниi
<i>За эти губы - умрет любой.</i>	iза губа умереть любойi
<i>Не преступай границы безрассудства.</i>	iне преступать граница безрассудстваi
<i>Тебе хвалиться очень не к лицу</i>	iтеб хвалиться очень лицуi
<i>И разве может тонкий ручеек тягаться в силе с бурною рекой?</i>	iи тонкий ручеёк тягаться сила бурный рекойi
<i>Зачем бесстыжие одежды эти носишь?</i>	iзачем бесстыжий одежда носишьi
<i>Сари нет прелестнее наряда.</i>	iсари прелестный нарядаi
<i>Пусть я стара.</i>	iпусть стараi
<i>Но старость - золото,</i>	iно старость золотоi
<i>А золото блестит!</i>	iа золото блеститi
<i>И ты права - лишь красота и сила победит!</i>	iи право лишь красота сила победитi
Поставьте ее на место!	поставить место
Почему бабушка и внучка вечно скандалят?	почему бабушка внучка вечно скандалить
Бабушка?	бабушка
Когда мы ругались? - Да только что.	когда ругаться да что
Мы же йогой занимались. - Йогой?	мы йога заниматься йога
Мы - друзья навечно.	мы друг навечно
Где же этот чертов мост?	где чертовый мост
Кто меня толкнул?	кто толкнуть
"Смотри куда прешься, ""порембок""!"	смотреть переться порембок
Тамильский понимает?	тамильский понимать
Сейчас прольется невинная тамильская кровь на землю Калькутты.	сейчас пролиться невинный тамильский кровь земля калькутта
Слава богу, смылся.	слава бог смыться
"Что такое ""порембок""?"	что такой порембок
"""Порем"" значит зад, а ""бок"" - вращаться."	пороть значит зад бок вращаться
Припадаю к вашим стопам. - Что вы делаете?	припадать ваш стопа что делать
Да вы же тамильский философ.	да тамильский философ
Так трудно найти тамильца в Калькутте.	так трудно найти тамилец калькутта
И какая же для меня радость, встретить тамильского мудреца!	и радость встретить тамильский мудрец
Так хорошо объяснили значение слова.	так объяснить значение слово
Как быстро он научился.	как быстро научиться
Вы тоже по-тамильски говорите?	вы потамильски говорить
- А сейчас я на английском говорю? - Ну правильно.	а английский говорить ну правильно
Я просто думал вы с севера, потому и испугался.	я просто думать север испугаться
Где ваши руки? - Вот здесь.	где ваш рука вот здесь
Настоящий тамилец.	настоящий тамилец
А вы что здесь делаете?	а делать
Ищу своего двоюродного брата.	искать свой двоюродный брат
Он приехал из деревни, и мы должны встретиться на мосту.	он приехать деревня должный встретиться мост
Он сказал название моста, но я не запомнил. Ера, Ура, Ира...	он сказать название мост запомнить ер ура ир
- Ора Бридж наверное? - Точно, он!	ора бридж наверное точно он
А где он? - Шутите?	а он шутить
Даже не думал.	даже думать
Мы же на нем стоим.	мы немой стоять
А я не знал.	а знать
Если бы вы показали мне этот мост в Тамилнаду,	если показать мост тамилнад
Я бы построил маленький храм в вашу честь.	я построить маленький храм ваш честь
Да, но у нас нет такого моста.	да такой мост
Это точно. Мне нужно найти своего брата.	это точно я нужно найти свой брат
Вы сильно взволнованы. Выпьем чаю.	вы сильно взволновать выпить чай
Чай заказали? - Да.	чаять заказать да
Сколько я должен? - Я заплачу.	сколько должный я заплатить
Тогда мне масалу, с молоком. - Договорились.	тогда масало молоко договориться
Что ты сказал ему?	что сказать он
Чтобы налил масалы с молоком.	чтобы налить масала молоко
То что я хотел, да?	то хотеть да
Ну конечно.	ну конечно
Давай, давай. Это мне.	давать давать это я
Ты за один глоток его прикончил.	ты глотка прикончить
Очень вкусно, никогда такого не пробовал.	очень вкусно такой пробовать
Еще одну! - Нет, не надо.	ещё один нет надо
Не хочет. - Разве я это сказал?	не хотеть разве это сказать
Закажи еще.	заказать ещё
Как вас зовут? - Банерджи.	как звать банерджи
Но это ведь не тамильское имя.	но это тамильский имя
Правильно. Мое настоящее имя Куппан.	правильно мой настоящее имя куппан
Раньше я занимался баннерами для кино.	ранний заниматься баннер кино
"Люди звали меня ""Баннер Куппан"""	человек звать баннер куппан
Мне это не нравилось.	я это нравиться
"Тогда я взял приставку ""джи"", которую часто используют знаменитости,"	тогда взять приставка джи который часто использовать знаменитость
"И добавил ее к ""Баннер"""	и добавить баннер
Так и получилось - Банерджи.	так получиться банерджи
Ваше имя знаменито в Калькутте.	ваш имя знаменитый калькутта
Да я по всему миру знаменит .	да весь мир знаменитый
Дай еще одну. - Вы уверены?	дать один вы уверить
Отличный чаек тут варят.	отличный чайка варить
Еще одну?	ещё один
Быстро же тебя развезло.	быстро развезти
Хорошо пошло. Супер чаек.	хорошо пошло супер чайка
Я будто бы поплыл. - Серьезно?	я поплыть серьёзно
А куда это ларек поехал?	а это ларёк поехать
Его ларек, куда хочет, туда и едет. - И то правда.	он ларёк хотеть туда ехать и правда
А почему они руками машут? - Крикетный матч идет.	а почему рука махать крикетный матч идти
Точно, я не заметил.	точно заметить
А где брат то мой? - Сейчас придет.	а брат мой сейчас прийти
Должен бы прийти уже. - Точно придет.	должный прийти уже точно прийти
Такое чувство, что мы плывем.	такой чувство плыть
Может и воду видишь вокруг?	мочь вода видеть вокруг
Вижу. - Да ты пьян.	видеть да пьяный
Правда? Заберите тогда это.	правда забрать это
Я слышал звук разбитой посуды. Значит мы на земле.	я слышать звук разбитый посуда значит земля
Что ж голова то так кружится?	что голова кружиться
Это твои грустные мысли давят на мозг.	это твой грустный мысль давить мозг
Нужно выплеснуть их. - Можно прямо сейчас?	нужно выплеснуть они можно прямо сейчас
Да необходимо просто.	да необходимый просто
Трудно мне на работе.	трудно работа
Все надо мной издеваются.	весь я издеваться
Бедняжка. - Во сколько человеку положен завтрак?	бедняжка в сколько человек положить завтрак
Я ем в 8 утра. - А я, после полудня.	я есть 8 утро а я полдень
А обед? - В половину пятого.	а обед в половина пять
А как же ужин? - Да после рассвета уже.	а ужин да рассвет уже
Так тебе и спать некогда? - Только успею поужинать,	так ты спать некогда только успеть поужинать
...как петухи начинают петь.	как петух начинать петь
Когда же мне спать?	когда спать
Так тебя там мучают? - Да ужасно. Аж голова кругом.	так мучить да ужасно аж голова кругом
Вот иду по ровной земле,	вот идти ровный земля
А чувство такое будто по ступенькам карабкаюсь.	а чувство такой ступенька карабкаться
Ноги отекли у тебя. Кто ж тебя так мучает бедолагу?	нога отечь ты кто мучить бедолага
Да чертов судья.	да чертовый судья
Дома, я только его семье прислуживаю.	дом семья прислуживать
А здесь, весь кагалт собрался.	а здесь весь кагалта собраться
Убью гада! - Кого?	убить гад кто
Да судью же.	да судья же
Позавчера уже кто-то пытался его застрелить,	позавчера ктоть пытаться застрелить
... но промахнулся. Знаешь почему?	промахнуться знаешь почему
Потому что судье суждено умереть от моей руки.	потому судья суждено умереть мой рука
Ты владеешь оружием? - Еще как!	ты владеть оружие ещё как
